HCH_012_226_000000	海瑞，字汝賢，瓊山人。
HCH_012_226_000185	甫臨所部，而請事之竿牘，又滿行台。
HCH_012_226_000186	以豸冠持斧之威，束手俯眉，聽人頤指。
HCH_012_226_000187	此請托之積弊，二也。
HCH_012_226_000188	撫按定監司考語，必托之有司。
HCH_012_226_000189	有司則不顧是非，侈加善考，監司德且畏之。
HCH_012_226_000190	彼此結納，上下之分蕩然。
HCH_012_226_000191	其考守令也亦如是。
HCH_012_226_000192	此訪察之積弊，三也。
HCH_012_226_000193	貪墨成風，生民塗炭，而所劾罷者大都單寒軟弱之流。
HCH_012_226_000194	苟百足之蟲，傅翼之虎，即贓穢狼籍，還登薦剡。
HCH_012_226_000195	嚴小吏而寬大吏，詳去任而略見任。
HCH_012_226_000196	此舉劾之積弊，四也。
HCH_012_226_000197	懲貪之法在提問。
HCH_012_226_000198	乃豺狼見遺，狐狸是問，徒有其名。
HCH_012_226_000199	或陰縱之使去，或累逮而不行，或批駁以相延，或朦朧以倖免。
HCH_012_226_000200	即或終竟其事，亦必博長厚之名，而以盡法自嫌。
HCH_012_226_000201	苞苴或累萬金，而贓止坐之銖黍。
HCH_012_226_000202	草菅或數十命，而罰不傷其毫釐。
HCH_012_226_000203	此提問之積弊，五也。
HCH_012_226_000204	薦舉糾劾，所以勸儆有司也。
HCH_012_226_000205	今薦則先進士而舉監，非有憑藉者不與焉。
HCH_012_226_000206	劾則先舉監而進士，縱有訾議者罕及焉。
HCH_012_226_000207	晉接差委，專計出身之途。
HCH_012_226_000208	於是同一官也，不敢接席而坐，比肩而行。
HCH_012_226_000209	諸人自分低昂，吏民觀瞻頓異。
HCH_012_226_000210	助成驕縱之風，大喪賢豪之氣。
HCH_012_226_000211	此資格之積弊，六也。
HCH_012_226_000212	州縣佐貳雖卑，亦臨民官也，必待以禮，然後可責以法。
HCH_012_226_000213	今也役使譴訶，無殊輿隸。
HCH_012_226_000214	獨任其汙黷害民，不屑禁治。
HCH_012_226_000215	禮與法兩失之矣。
HCH_012_226_000216	學校之職，賢才所關，今不問職業，而一聽其所為。
HCH_012_226_000217	及至考課，則曰「此寒官也」，概與上考。
HCH_012_226_000218	若輩知上官不我重也，則因而自棄；知上官必我憐也，又從而日偷。
HCH_012_226_000219	此處佐貳教職之積弊，七也。
HCH_012_226_000220	科場取士，故有門生、座主之稱。
HCH_012_226_000221	若巡按，舉劾其職也。
HCH_012_226_000222	乃劾者不任其怨，舉者獨冒為恩。
HCH_012_226_000223	尊之為舉主，而以門生自居，筐篚問遺，終身不廢。
HCH_012_226_000224	假明揚之典，開賄賂之門，無惑乎清白之吏不概見於天下也。
HCH_012_226_000225	方今國與民俱貧，而官獨富。
HCH_012_226_000226	既以官而得富，還以富而市官。
HCH_012_226_000227	此餽遺之積弊，八也。
HCH_012_226_000228	要此八者，敗壞之源不在於外，從而轉移亦不在於下也。
HCH_012_226_000229	昔齊威王烹一阿大夫，封一即墨大夫，而齊國大治。
HCH_012_226_000230	陛下誠大奮乾剛，痛懲吏弊，則風行草偃，天下可立治矣。
HCH_012_226_000231	疏奏，帝稱善。
HCH_012_226_000232	敕所司下撫按奉行，不如詔者罪。
HCH_012_226_000233	頃之，言：「故給事中魏時亮、周世選，御史張檟、李復聘以忤高拱見黜，文選郎胡汝桂以忤尚書被傾，宜賜甄錄。御史于應昌構陷劉台與王宗載同罪，宗載遺戍而應昌止罷官。勞堪巡撫福建，殺侍郎洪朝選。御史張一鯤監應天鄉試，王篆子之鼎夤緣中式。錢岱監湖廣鄉試，先期請居正少子還就試，會居正卒不果，遂私中篆子之衡。曹一夔身居風憲，盛稱馮保為顧命大臣。硃璉則結馮保為父，游七為兄。此數人者，得罪名教，而亦止罷官。此綱紀所以不振，人心所以不服。臣初八台，誓掃除積弊。今待罪三月，而大吏恣肆，小吏貪殘，小民怨咨，四方賂遺如故，臣不職可見。請罷斥以儆有位。」
HCH_012_226_000234	時已遷刑部右侍郎。
HCH_012_226_000235	帝優詔報之。
HCH_012_226_000236	召時亮、世選、檟、復聘、汝桂還，削慶昌、堪、一鯤、一夔、璉籍，貶岱三秩。
HCH_012_226_000237	未幾，偕中官張誠往籍張居正家。
HCH_012_226_000238	還，轉左侍郎，增俸一秩。
HCH_012_226_000239	尋拜南京吏部尚書，卒官。
HCH_012_226_000240	贈太子太保，諡簡肅。
HCH_012_226_000241	橓強直好搏擊，其清節為時所稱雲。
HCH_012_226_000242	呂坤，字叔簡，甯陵人。
HCH_012_226_000243	萬曆二年進士。
HCH_012_226_000244	為襄垣知縣，有異政。
HCH_012_226_000245	調大同，征授戶部主事，曆郎中。
HCH_012_226_000246	遷山東參政、山西按察使、陝西右布政使。
HCH_012_226_000247	擢右僉都御史，巡撫山西。
HCH_012_226_000248	居三年，召為左僉都御史。
HCH_012_226_000249	曆刑部左、右侍郎。
HCH_012_226_000250	二十五年五月，書疏陳天下安危，其略曰：竊見元旦以來，天氣昏黃，日光黯淡，占者以為亂徵。
HCH_012_226_000251	今天下之勢，亂象已形，而亂勢未動。
HCH_012_226_000252	天下之人，亂心已萌，而亂人未倡。
HCH_012_226_000253	今日之政，皆播亂機使之動，助亂人使之倡者也。
HCH_012_226_000254	臣敢以救時要務，為陛下陳之。
HCH_012_226_000255	自古幸亂之民有四。
HCH_012_226_000256	一曰無聊之民。
HCH_012_226_000257	飽溫無由，身家俱困，因懷逞亂之心，冀緩須臾之死。
HCH_012_226_000258	二曰無行之民。
HCH_012_226_000259	氣高性悍，玩法輕生，居常愛玉帛子女而不得，及有變則淫掠是圖。
HCH_012_226_000260	三曰邪說之民。
HCH_012_226_000261	白蓮結社，遍及四方，教主傳頭，所在成聚。
HCH_012_226_000262	倘有招呼之首，此其歸附之人。
HCH_012_226_000263	四曰不軌之民。
HCH_012_226_000264	乘釁蹈機，妄思雄長。
HCH_012_226_000265	惟冀目前有變，不樂天下太平。
HCH_012_226_000266	陛下約己愛人，損上益上，則四民皆赤子，否則悉為寇仇。
HCH_012_226_000267	今天下之蒼生貧困可知矣。
HCH_012_226_000268	自萬曆十年以來，無歲不災，催科如故。
HCH_012_226_000269	臣久為外吏，見陛下赤子凍骨無兼衣，饑腸不再食，垣舍弗蔽，苫槁未完；流移日眾，棄地猥多；留者輸去者之糧，生者承死者之役。
HCH_012_226_000270	君門萬里，孰能仰訴？
HCH_012_226_000271	今國家之財用耗竭可知矣。
HCH_012_226_000272	數年以來，壽宮之費幾百萬，織造之費幾百萬，寧夏之變幾百萬，黃河之潰幾百萬，今大工、采木費，又各幾百萬矣。
HCH_012_226_000273	土不加廣，民不加多，非有雨菽湧金，安能為計？
HCH_012_226_000274	今國家之防禦疏略可知矣。
HCH_012_226_000275	三大營之兵以衛京師也，乃馬半羸敝，人半老弱。
HCH_012_226_000276	九邊之兵以禦外寇也，皆勇於挾上，怯於臨戎。
HCH_012_226_000277	外衛之兵以備徵調資守禦也，伍缺於役占，家累于需求，皮骨僅存，折沖奚賴？
HCH_012_226_000278	設有千騎橫行，兵不足用，必選民丁。
HCH_012_226_000279	以怨民鬥怨民，誰與合戰？
HCH_012_226_000280	人心者，國家之命脈也。
HCH_012_226_000281	今日之人心，惟望陛下收之而已。
HCH_012_226_000282	關隴氣寒土薄，民生實艱。
HCH_012_226_000283	自造花絨，比戶困趣逼。
HCH_012_226_000284	提花染色，日夜無休，千手經年，不成一匹。
HCH_012_226_000285	他若山西之，蘇、松之錦綺，歲額既盈，加造不已。
HCH_012_226_000286	至饒州磁器，西域回青，不急之須，徒累小民敲骨。
HCH_012_226_000287	陛下誠一切停罷，而江南、陝西之人心收矣。
HCH_012_226_000288	以采木言之。
HCH_012_226_000289	丈八之圍，非百年之物。
HCH_012_226_000290	深山窮穀，蛇虎雜居，毒霧常多，人煙絕少，寒暑饑渴瘴癘死者無論矣。
HCH_012_226_000291	乃一木初臥，千夫難移，倘遇阻艱，必成傷殞。
HCH_012_226_000292	蜀民語曰：「入山一千，出山五百」。
HCH_012_226_000293	哀可知也。
HCH_012_226_000294	至若海木，官價雖一株千兩，比來都下，為費何止萬金！
HCH_012_226_000295	臣見楚、蜀之人，談及采木，莫不哽咽。
HCH_012_226_000296	苟損其數，增其直，多其歲月，減其尺寸，而川、貴、湖廣之人心收矣。
HCH_012_226_000297	以採礦言之。
HCH_012_226_000298	南陽諸府，比歲饑荒。
HCH_012_226_000299	生氣方蘇，菜色未變。
HCH_012_226_000300	自責報殷戶，是半已驚逃。
HCH_012_226_000301	自供應礦夫工食、官兵口糧，而多至累死。
HCH_012_226_000302	自都御史李盛春嚴旨切責，而撫按畏罪不敢言。
HCH_012_226_000303	今礦沙無利，責民納銀，而奸人仲春復為攘奪侵漁之計。
HCH_012_226_000304	朝廷得一金，郡縣費千倍。
HCH_012_226_000305	誠敕戒使者，毋散砂責銀，有侵奪小民若仲春者，誅無赦，而四方之人心收矣。
HCH_012_226_000306	宮店租銀收解，自趙承勳造四千之說，而皇店開。
HCH_012_226_000307	自朝廷有內官之遣，而事權重。
HCH_012_226_000308	夫市井之地，貧民求升合絲毫以活身家者也，陛下享萬方之富，何賴於彼？
HCH_012_226_000309	且馮保八店，為屋幾何，而歲有四千金之課。
HCH_012_226_000310	課既四千，徵收何止數倍。
HCH_012_226_000311	不奪市民，將安取之？
HCH_012_226_000312	今豪家遣僕設肆，居民尚受其殃，況特遣中貴，賜之敕書，以壓卵之威，行竭澤之計，民困豈顧問哉？
HCH_012_226_000313	陛下撤還內臣，責有司輸課，而畿甸之人心收矣。
HCH_012_226_000314	天下宗室，皆九廟子孫。
HCH_012_226_000315	王守仁、王錦襲蓋世神奸，藉隔數千里，而冒認王弼子孫；事隔三百年，而妄稱受寄財產。
HCH_012_226_000316	中間偽造絲綸，假傳詔旨，明欺聖主，暗陷親王，有如楚王銜恨自殺，陛下何辭以謝高皇帝之靈乎？
HCH_012_226_000317	此兩賊者，罪應誅殛，乃止令回籍，臣恐萬姓驚疑。
HCH_012_226_000318	誠急斬二賊以謝楚王，而天下宗籓之心收矣。
HCH_012_226_000319	崇信伯費甲金之貧，十廂珠寶之誣，皆通國所知也。
HCH_012_226_000320	始誤於科道之風聞，嚴追猶未為過。
HCH_012_226_000321	今真知其枉，又加禁錮，實害無辜。
HCH_012_226_000322	請還甲金革去之祿，復五城廠衛降斥之官，而勳戚之人心收矣。
HCH_012_226_000323	法者所以平天下之情。
HCH_012_226_000324	其輕其重，太祖既定為律，列聖又增為例。
HCH_012_226_000325	如輕重可以就喜怒之情，則例不得為一定之法。
HCH_012_226_000326	臣待罪刑部三年矣，每見詔獄一下，持平者多拂上意，從重者皆當聖心。
HCH_012_226_000327	如往年陳恕、王正甄、常照等獄，臣等欺天罔人，已自廢法，陛下猶以為輕，俱加大辟。
HCH_012_226_000328	然則律例又安用乎！
HCH_012_226_000329	誠俯從司寇之平，勉就祖宗之法，而囹圄之人心收矣。
HCH_012_226_000330	自古聖明之君，豈樂誹謗之語。
HCH_012_226_000331	然而務求言賞諫者，知天下存亡，系言路通塞也。
HCH_012_226_000332	比來驅逐既多，選補皆罷。
HCH_012_226_000333	天閽邃密，法座崇嚴，若不廣達四聰，何由明照萬里？
HCH_012_226_000334	今陛下所聞，皆眾人之所敢言也，其不敢言者，陛下不得聞矣。
HCH_012_226_000335	一人孤立萬乘之上，舉朝無犯顏逆耳之人，快在一時，憂貽他日。
HCH_012_226_000336	陛下誠釋曹學程之系，還吳文梓等官，凡建言得罪者，悉分別召用，而士大夫之心收矣。
HCH_012_226_000337	朝鮮密邇東陲，近吾肘腋，平壤西鄰鴨綠，晉州直對登、萊。
HCH_012_226_000338	倘倭夷取而有之，籍眾為兵，就地資食，進則斷我漕運，退則窺我遼東。
HCH_012_226_000339	不及一年，京城坐困，此國家大憂也。
HCH_012_226_000340	乃彼請兵而二三其說，許兵而延緩其期；力窮勢屈，不折入為倭不止。
HCH_012_226_000341	陛下誠早決大計，並力東征，而屬國之人心收矣。
HCH_012_226_000342	四方輸解之物，營辦既苦，轉運尤艱。
HCH_012_226_000343	及入內庫，率至朽爛，萬姓脂膏，化為塵土。
HCH_012_226_000344	倘歲一稽核，苦窳者嚴監收之刑，朽腐者重典守之罪。
HCH_012_226_000345	一整頓間，而一年可備三年之用，歲省不下百萬，而輸解之人心收矣。
HCH_012_226_000346	自抄沒法重，株連數多。
HCH_012_226_000347	坐以轉寄，則並籍家資。
HCH_012_226_000348	誣以多贓，則互連親識。
HCH_012_226_000349	宅一封而雞豚大半餓死，人一出則親戚不敢藏留。
HCH_012_226_000350	加以官吏法嚴，兵番搜苦，少年婦女，亦令解衣。
HCH_012_226_000351	臣曾見之，掩目酸鼻。
HCH_012_226_000352	此豈盡正犯之家、重罪之人哉？
HCH_012_226_000353	一字相牽，百口難解。
HCH_012_226_000354	奸人又乘機恐嚇，挾取資財，不足不止。
HCH_012_226_000355	半年之內，擾遍京師，陛下知之否乎？
HCH_012_226_000356	願慎抄沒之舉，釋無辜之系，而都下之人心收矣。
HCH_012_226_000357	列聖在禦之時，豈少宦官宮妾，然死于箠楚者，未之多聞也。
HCH_012_226_000358	陛下數年以來，疑深怒盛。
HCH_012_226_000359	廣廷之中，狼籍血肉，宮禁之內，慘戚啼號。
HCH_012_226_000360	厲氣冤魂，乃聚福祥之地。
HCH_012_226_000361	今環門守戶之眾，皆傷心側目之人。
HCH_012_226_000362	外表忠勤，中藏憸毒。
HCH_012_226_000363	既朝暮不能自保，即九死何愛一身。
HCH_012_226_000364	陛下臥榻之側，同心者幾人？
HCH_012_226_000365	暮夜之際，防患者幾人？
