HCH_012_241_000000	周嘉謨張問達汪應蛟王紀孫瑋鐘羽正陳道亨周嘉謨，字明卿，漢川人。
HCH_012_241_000110	會孫慎行、鄒元標追論「紅丸」，力攻方從哲。
HCH_012_241_000111	詔廷臣集議，與議者百十餘人。
HCH_012_241_000112	問達既集眾議，乃會戶部尚書汪應蛟等上疏曰：按慎行奏，首罪李可灼進紅丸。
HCH_012_241_000113	可灼先見從哲，臣等初未知。
HCH_012_241_000114	及奉召進乾清宮，候於丹墀，從哲與臣等共言李可灼進藥，俱慎重未決。
HCH_012_241_000115	俄宣臣等至宮內跪御前，先帝自言「朕躬虛弱」，語及壽宮，並諭輔陛下為堯、舜，因問「可灼安在」。
HCH_012_241_000116	可灼趨入，和藥以進，少頃又進。
HCH_012_241_000117	聖躬安舒就寢。
HCH_012_241_000118	此進藥始末，從哲及文武諸臣所共見者。
HCH_012_241_000119	是時群情倉惶，淒然共切，弒逆二字，何可忍言。
HCH_012_241_000120	在諸臣固諒從哲無是心，即慎行疏中亦已相諒。
HCH_012_241_000121	若可灼輕易進藥，非但從哲未能止，臣與眾人亦未能止，臣等均有罪焉。
HCH_012_241_000122	及御史王安舜等疏論可灼，從哲自應重擬，乃先止罰俸，繼令養疾，則失之太輕。
HCH_012_241_000123	今不重罪可灼，何以慰先帝而服中外之心？
HCH_012_241_000124	宜提付法司，正以刑辟。
HCH_012_241_000125	若崔文升妄投涼藥，罪亦當誅。
HCH_012_241_000126	請並下法司，與可灼並按。
HCH_012_241_000127	從哲則應如其自請，削去官階，為法任咎，此亦大臣引罪之道宜然，而非臣等所敢議也。
HCH_012_241_000128	至選侍欲垂簾聽政，群臣初入臨，閽者阻不容入，群臣排闥而進。
HCH_012_241_000129	哭臨畢，奉聖躬至文華殿，行朝謁嵩呼禮，復奉駕還慈慶宮。
HCH_012_241_000130	因議新主登極，選侍不當復居乾清。
HCH_012_241_000131	九卿即公疏請移，言官繼之，從哲始具揭奏請，選侍遂即日移宮。
HCH_012_241_000132	然輿論猶憾從哲之奏，不毅然為百僚倡。
HCH_012_241_000133	倘非諸臣共挾大義，連章急趨，則乾清何地，猶然混居，令得假竊魁柄，將如陛下登極還宮何！
HCH_012_241_000134	疏入，帝謂從哲心跡自明，不當輕議，止逮可灼下吏。
HCH_012_241_000135	文升已安置南京，弗問。
HCH_012_241_000136	問達歷更大任，「梃擊」、「紅丸」、「移宮」三大案並經其手。
HCH_012_241_000137	持議平允，不激不隨。
HCH_012_241_000138	先以秩滿，加太子太保，至是乞休，疏十三上。
HCH_012_241_000139	詔加少保，乘傳歸。
HCH_012_241_000140	五年，魏忠賢擅國。
HCH_012_241_000141	御史周維持劾問達力引王之寀植黨亂政，遂削奪。
HCH_012_241_000142	御史牟誌夔復誣問達贓私，請下吏按問。
HCH_012_241_000143	命捐貲十萬助軍興。
HCH_012_241_000144	頃之，問達卒。
HCH_012_241_000145	以巡撫張維樞言，免其半，問達家遂破。
HCH_012_241_000146	崇禎初，贈太保，予一子官。
HCH_012_241_000147	維持、誌夔鹹名掛逆案。
HCH_012_241_000148	陸夢龍，字君啟，會稽人。
HCH_012_241_000149	萬歷三十八年進士。
HCH_012_241_000150	授刑部主事，進員外郎。
HCH_012_241_000151	張差獄起，引凡向宮殿射箭、放彈、投磚石等律當以斬。
HCH_012_241_000152	獄具，提牢主事王之寀奏差口詞甚悉，乞敕會問，大理丞王士昌亦上疏趣之。
HCH_012_241_000153	時夢龍以典試廣東杜門，主事邢臺傅梅過之曰：「人情庇奸，而甘心儲皇。吾雖恤刑山右，當上疏極論，君能共事乎？」
HCH_012_241_000154	夢龍曰：「張公遇我厚，遽上疏，若張公何？當力爭之耳。」
HCH_012_241_000155	乃偕見問達。
HCH_012_241_000156	時郎中胡士相等不欲再鞫，趣問達具疏請旨，以疏入必留中，其事可遂寢。
HCH_012_241_000157	夢龍得其情，止勿復請。
HCH_012_241_000158	眾曰：「提馬三爺、李外父輩，非得旨不可。」
HCH_012_241_000159	夢龍曰：「堂堂法司，不能捕一編氓，須天子詔耶？差所供，必當訊實。」
HCH_012_241_000160	問達以為然。
HCH_012_241_000161	明日，會訊，士相、永嘉、會禎、夢龍、梅、之寀及鄒紹先凡七人，惟之寀、梅與夢龍合。
HCH_012_241_000162	將訊，眾鹹囁嚅。
HCH_012_241_000163	夢龍呼刑具三，無應者，擊案大呼，始具。
HCH_012_241_000164	差長身駢脅，睨視傲語，無風癲狀。
HCH_012_241_000165	夢龍呼紙筆，命畫所從入路。
HCH_012_241_000166	梅問：「汝何由識路？」
HCH_012_241_000167	差言：「我薊州人，非有導者，安得入？」
HCH_012_241_000168	問：「導者誰？」
HCH_012_241_000169	曰：「大老公龐公，小老公劉公。」
HCH_012_241_000170	且曰：「豢我三年矣，予我金銀壺各一。」
HCH_012_241_000171	夢龍曰：「何為？」
HCH_012_241_000172	曰：「打小爺。」
HCH_012_241_000173	於是士相立推坐起曰：「此不可問矣。」
HCH_012_241_000174	遂罷訊。
HCH_012_241_000175	夢龍必欲得內豎名。
HCH_012_241_000176	越數日，問達再令十三司會審，差供逆謀及龐保、劉成名，一無所隱。
HCH_012_241_000177	士相主筆，躊躇不敢下，郎中馬德灃趣之，永嘉復以為難。
HCH_012_241_000178	夢龍咈然曰：「陸員外不肯匿，誰敢匿？」
HCH_012_241_000179	獄乃具。
HCH_012_241_000180	給事中何士晉遂疏詆鄭國泰。
HCH_012_241_000181	帝於是斃保、成於內，而棄差市，梅慮其潛易，躬請監刑。
HCH_012_241_000182	當是時，自夢龍、之寀、梅、德灃外，鮮不為鄭氏地者。
HCH_012_241_000183	已而之寀、德灃悉被罪，梅以京察罷官。
HCH_012_241_000184	夢龍賴問達力獲免，由郎中歷副使。
HCH_012_241_000185	天啟四年，貴州賊未靖，總督蔡復一薦夢龍知兵，改右參政，監軍討賊，安邦彥犯普定。
HCH_012_241_000186	夢龍偕總兵黃鉞以三千人禦之。
HCH_012_241_000187	曉行大霧中，直前薄賊，賊大敗。
HCH_012_241_000188	三山苗叛，思州告急。
HCH_012_241_000189	夢龍夜遣中軍吳家相進搗賊巢，撾苗鼓，聲振山谷，苗大奔潰，焚其巢而還。
HCH_012_241_000190	尋改湖廣監軍，遷廣東按察使。
HCH_012_241_000191	上官建忠賢祠，列夢龍名，亟遣使鏟去之。
HCH_012_241_000192	崇禎元年大計，忠賢黨猶用事，鐫二級調任。
HCH_012_241_000193	三年起副使，以故官分巡東兗道。
HCH_012_241_000194	盜起曹、濮間，討斬其魁，余眾悉降。
HCH_012_241_000195	遷右參政，守固原。
HCH_012_241_000196	夢龍慷慨好談兵，以廓清群盜自負。
HCH_012_241_000197	七年夏，賊來犯，擊卻之。
HCH_012_241_000198	閏八月，賊陷隆德，殺知縣費彥芳，遂圍靜寧州。
HCH_012_241_000199	夢龍率遊擊賀奇勛、都司石崇德禦之，抵老虎溝。
HCH_012_241_000200	賊初不滿千，已而大至。
HCH_012_241_000201	夢龍所將止三百餘人，被圍數重，賊矢石如雨，突圍不得出。
HCH_012_241_000202	二將抱夢龍泣，夢龍揮之曰：「何作此婦孺態！」
HCH_012_241_000203	大呼奮擊，手馘數人，與二將俱戰死。
HCH_012_241_000204	事聞，贈太僕卿。
HCH_012_241_000205	而傅梅，崇禎中歷台州知府，解職歸。
HCH_012_241_000206	十五年冬，捐金佐知府吉孔嘉守城。
HCH_012_241_000207	城破殉難，贈太常少卿。
HCH_012_241_000208	汪應蛟，字潛夫，婺源人。
HCH_012_241_000209	萬歷二年進士。
HCH_012_241_000210	授南京兵部主事，歷南京禮部郎中。
HCH_012_241_000211	給由入都，值吏部侍郎陸光祖與御史江東之等相訐，應蛟不直光祖，抗疏劾之，於政府多所譏切。
HCH_012_241_000212	累遷山西按察使。
HCH_012_241_000213	治兵易州，陳礦使王虎貪恣狀，不報。
HCH_012_241_000214	朝鮮再用兵，移應蛟天津。
HCH_012_241_000215	及天津巡撫萬世德經略朝鮮，即擢應蛟右僉都御史代之，屢上兵食事宜，扼險列屯，軍聲甚振。
HCH_012_241_000216	稅使王朝死，帝將遣代。
HCH_012_241_000217	應蛟疏請止之，忤旨，切責。
HCH_012_241_000218	朝鮮事寧，移撫保定。
HCH_012_241_000219	歲旱蝗，振恤甚力。
HCH_012_241_000220	已，極言畿民困敝，請盡罷礦稅。
HCH_012_241_000221	會奸人柳勝秋等妄言括畿輔稅可得銀十有三萬，應蛟三疏力爭，然僅得減半而已。
HCH_012_241_000222	三十年春，帝命停礦稅，俄中止。
HCH_012_241_000223	應蛟復力爭，不納。
HCH_012_241_000224	應蛟在天津，見葛沽、白塘諸田盡為汙萊，詢之土人，鹹言斥鹵不可耕。
HCH_012_241_000225	應蛟念地無水則堿，得水則潤，若營作水田，當必有利。
HCH_012_241_000226	乃募民墾田五千畝，為水田者十之四，畝收至四五石，田利大興。
HCH_012_241_000227	及移保定，乃上疏曰：「天津屯兵四千，費餉六萬，俱斂諸民間。留兵則民告病，恤民則軍不給，計惟屯田可以足食。今荒土連封，蒿萊彌望，若開渠置堰，規以為田，可七千頃，頃得谷三百石。近鎮年例，可以兼資，非獨天津之餉足取給也。」
HCH_012_241_000228	因條畫墾田丁夫及稅額多寡以請，得旨允行。
HCH_012_241_000229	已，請廣興水利。
HCH_012_241_000230	略言：「臣境內諸川，易水可以溉金臺，滹水可以溉恒山，溏水可以溉中山，滏水可以溉襄國，漳水來自鄴下，西門豹嘗用之，瀛海當諸河下流，視江南澤國不異。其他山下之泉，地中之水，所在而有，鹹得引以溉田。請通渠築防，量發軍夫，一準南方水田之法行之。所部六府，可得田數萬頃，歲益谷千萬石，畿民從此饒給，無旱潦之患。即不幸漕河有梗，亦可改折於南，取糴於北。」
HCH_012_241_000231	工部尚書楊一魁亟稱其議，帝亦報許，後卒不能行。
HCH_012_241_000232	召為工部右侍郎，未上，予告去。
HCH_012_241_000233	已，進兵部左侍郎，以養親不出。
HCH_012_241_000234	親沒，竟不召。
HCH_012_241_000235	光宗立，起南京戶部尚書，天啟元年改北部。
HCH_012_241_000236	東西方用兵，驟加賦數百萬。
HCH_012_241_000237	應蛟在道，馳疏言：「漢高帝稱蕭何之功曰：「鎮國家，撫百姓，給餉饋不絕，吾不如蕭何。』夫給饋餉而先以撫百姓，故能興漢滅楚，如運諸掌也。今國家多難，經費不支，勢不得緩催科，然弗愛養民力，而徒竭其脂膏，財殫氓窮，變亂必起，安得不預為計？」因列上愛養十八事，帝嘉納焉。熊廷弼建三方布置之策，需餉千二百萬，應蛟力阻之。廷議「紅丸」事，請置崔文升、李可灼於法，而斥方從哲為編氓。應蛟為人，亮直有守，視國如家。謹出納，杜虛耗，國計賴之。帝保母客氏求墓地逾制，應蛟持不予，遂見忤。會有言其老不任事者，力乞骸骨。詔加太子少保，馳傳歸。陛辭，疏陳聖學，引宋儒語，以宦官、宮妾為戒。久之，卒於家。應蛟學主誠敬，其出處辭受一軌於義。裏居，謝絕塵事，常衣缊枲。王紀，字惟理，芮城人。萬歷十七年進士。授池州推官。入為祠祭主事，歷儀制郎中。秉禮持正，時望蔚然。二十九年，帝將冊立東宮，數遷延不決，紀抗疏極論。其冬，禮成，擢光祿少卿，引疾去。四十一年，自太常少卿擢右僉都御史，巡撫保定諸府。連歲水旱，紀設法救荒甚備。稅監張曄請征恩詔已蠲諸稅，紀兩疏力爭，曄竟取中旨行之。紀劾曄抗違詔書，沮格成命，皆不報。居四年，部內大治，遷戶部右侍郎，
HCH_012_241_000238	總督漕運兼巡撫鳳陽諸府。
HCH_012_241_000239	歲大兇，振救如畿輔。
HCH_012_241_000240	光宗立，召拜戶部尚書，督倉場。
HCH_012_241_000241	天啟二年，代黃克纘為刑部尚書。
HCH_012_241_000242	時方會議「紅丸」事，紀偕侍郎楊東明署議，言：「方從哲知有貴妃，不知有君父。李可灼進藥駕崩，反慰以恩諭，賚之銀幣，國典安在？不逮可灼，無以服天下；不逮崔文升，無以服可灼；不削奪從哲官階祿蔭，無以泄天地神人之憤。」
HCH_012_241_000243	議出，群情甚竦。
HCH_012_241_000244	主事徐大化者，素無賴，日走魏忠賢門，構陷善類，又顯劾給事中周朝瑞、惠世揚。
HCH_012_241_000245	紀憤甚，劾大化溺職狀，因言：「大化誠為朝廷擊賊，則大臣中有交結權珰，誅鋤正士，如宋蔡京者，何不登彈文，而與正人日尋水火。」
HCH_012_241_000246	其言大臣，指大學士沈纮也。
HCH_012_241_000247	大化由此罷去，而纮及忠賢深憾之。
HCH_012_241_000248	御史楊維垣與大化有連，且素附纮，遂助纮詆紀，言紀所劾大臣無主名，請令指實。
HCH_012_241_000249	紀遂直攻纮，言：「纮與京，生不同時，而事實相類。其結納魏忠賢，與京之契合童貫同也；乞哀董羽宸，與京之懇款陳瓘同也；要盟死友邵輔忠、孫傑，與京之固結吳居厚同也；逐顧命元臣劉一燝、周嘉謨，與安置呂大防、蘇軾同也；斥逐言官江秉謙、熊德陽、侯震旸，與貶謫安常民、任伯雨同也。至於賄交婦寺，竊弄威權，中旨頻傳而上不悟，朝柄陰握而下不知，此又京迷國罔上，百世合符者。」
HCH_012_241_000250	客、魏聞之怒，為纮泣訴帝前。
HCH_012_241_000251	帝謂紀煩言，加譙責焉。
HCH_012_241_000252	初，李維翰、熊廷弼、王化貞下吏，紀皆置之重辟。
HCH_012_241_000253	而與都御史、大理卿上廷弼、化貞爰書，微露兩人有可矜狀，而言不測特恩，非法官所敢輕議。
HCH_012_241_000254	有千總杜茂者，賫登萊巡撫陶郎先千金，行募兵，金盡而兵未募，不敢歸，返薊州僧舍，為邏者所獲，詞連佟卜年。
HCH_012_241_000255	卜年，遼陽人，舉進士，歷知南皮、河間，遷夔州同知，未行，經略廷弼薦為登萊監軍僉事。
HCH_012_241_000256	邏者搒掠。
HCH_012_241_000257	茂言嘗客於卜年河間署中三月，與言謀叛，因挾其二仆往通李永芳。
HCH_012_241_000258	行邊尚書張鶴鳴以聞。
HCH_012_241_000259	鶴鳴故與廷弼有隙，欲藉卜年以甚其罪。
HCH_012_241_000260	朝士皆知卜年冤，莫敢言。
HCH_012_241_000261	及鎮撫既成獄，移刑部，紀疑之，以問諸曹郎。
HCH_012_241_000262	員外郎顧大章曰：「茂既與二仆往來三千里，乃拷訊垂斃，終不知二仆姓名，其誣服何疑，卜年雖非間諜，然實佟養真族子，流三千里可也。」
HCH_012_241_000263	紀議從之。
HCH_012_241_000264	邏者又獲奸細劉一巘，忠賢疑劉一燝昆弟，欲立誅一讞與卜年，因一讞以株連一燝。
HCH_012_241_000265	紀皆執不可。
HCH_012_241_000266	纮遂劾紀護廷弼，緩卜年等獄，為二大罪。
HCH_012_241_000267	帝責紀陳狀，遂斥為民。
HCH_012_241_000268	以侍郎楊東明署部事，坐卜年流二千里。
HCH_012_241_000269	獄三上三卻。
HCH_012_241_000270	給事中成明樞、張鵬雲、沈惟炳，卜年同年生也，為發憤，摭他事連劾東明。
HCH_012_241_000271	卜年獲長繋，瘐死，而東明遂引疾去。
HCH_012_241_000272	紀既斥，大學士葉向高、何宗彥、史繼偕論救，皆不聽。
HCH_012_241_000273	後閹黨羅織善類，紀先卒，乃免。
HCH_012_241_000274	崇禎元年復官，贈少保，蔭一子，謚莊毅。
HCH_012_241_000275	楊東明，字啟修，虞城人。
HCH_012_241_000276	官給事中。
HCH_012_241_000277	請定國本，出閣豫教，早朝勤政，酌宋應昌、李如松功罪之平。
HCH_012_241_000278	上《河南饑民圖》，薦寺丞鐘化民往振。
HCH_012_241_000279	掌吏科，協孫丕揚主大計。
HCH_012_241_000280	後以劾沈思孝，思孝與相詆，貶三官為陜西布政司照磨。
HCH_012_241_000281	裏居二十六年。
HCH_012_241_000282	光宗立，起太常少卿。
HCH_012_241_000283	天啟中，累遷刑部右侍郎。
HCH_012_241_000284	既歸，遂卒。
HCH_012_241_000285	崇禎初，贈刑部尚書。
HCH_012_241_000286	孫瑋，字純玉，渭南人。
HCH_012_241_000287	萬歷五年進士。
HCH_012_241_000288	授行人，擢兵科給事中。
HCH_012_241_000289	劾中官魏朝及東廠辦事官鄭如金罪，如金坐下詔獄。
HCH_012_241_000290	二人皆馮保心腹也。
HCH_012_241_000291	初，張居正以刑部侍郎同安洪朝選輕遼王罪，銜之。
HCH_012_241_000292	後勞堪巡撫福建，希居正意，諷同安知縣金枝捃摭朝選事，堪飛章奏之。
HCH_012_241_000293	命未下，捕置之獄，絕其飯食三日，死，禁勿殮，屍腐獄中。
HCH_012_241_000294	堪尋召為左副都御史，未至京而居正卒。
HCH_012_241_000295	朝選子都察院檢校競訴冤闕下，堪復飛書抵馮保，削競籍，廷杖遣歸。
HCH_012_241_000296	至是，瑋白髮其事，並及堪諸貪虐狀，堪免官。
HCH_012_241_000297	未幾，朝選妻訴冤，邱橓亦為訟，競復援胡槚、王宗載事，請與堪俱死，乃遣堪戍。
HCH_012_241_000298	當是時，廠衛承馮保余威，濫受民訟；撫按訪察奸猾，多累無辜；有司斷獄，往往罪外加罰；帝好用立枷，重三百餘斤，犯者立死。
HCH_012_241_000299	瑋皆極陳其害。
HCH_012_241_000300	詔立枷如故，余從瑋言。
HCH_012_241_000301	以母病，不候命擅歸，坐謫桃源主簿。
HCH_012_241_000302	久之，歷遷太常卿。
HCH_012_241_000303	三十年，以右副都御史巡撫保定。
HCH_012_241_000304	朝鮮用兵，置軍天津，月餉六萬，悉派之民間。
HCH_012_241_000305	先任巡撫汪應蛟役軍大治水田，以所入充餉。
HCH_012_241_000306	瑋踵行之，田益墾，遂免加派，歲比不登，旱蝗、大水相繼，瑋多方振救，帝亦時出內帑佐之。
HCH_012_241_000307	所條荒政，率報允。
HCH_012_241_000308	畿輔礦使倍他省，礦已竭而搜鑿不已，至歲責民賠納。
HCH_012_241_000309	瑋累疏陳其害，且列天津稅使馬堂六大罪，皆不省。
HCH_012_241_000310	就進兵部侍郎，召為右都御史，督倉場。
HCH_012_241_000311	進戶部尚書，督倉場如故。
HCH_012_241_000312	大僚多缺，命署戎政。
HCH_012_241_000313	已，又兼署兵部。
HCH_012_241_000314	瑋言：「陛下以累累三印悉畀之臣，豈真國無人耶？臣所知大僚則有呂坤、劉元震、汪應蛟，庶僚則有鄒元標、孟一脈、趙南星、姜士昌、劉九經，臺諫則有王德完、馮從吾輩，皆德立行修，足備任使。茍更閱數年，陛下即欲用之，不可得矣。」
HCH_012_241_000315	弗聽。
HCH_012_241_000316	都御史自溫純去後，八年不置代。
HCH_012_241_000317	至四十年十二月，外計期迫，始命瑋以兵部尚書掌左都御史事。
HCH_012_241_000318	瑋素負時望，方欲振風紀，而是時朋黨勢成，言路大橫。
HCH_012_241_000319	會南畿巡按御史荊養喬與提學御史熊廷弼相訐，瑋議廷弼解職候勘。
HCH_012_241_000320	廷弼黨官應震、吳亮嗣輩遂連章攻瑋。
HCH_012_241_000321	瑋累疏乞休，帝皆慰留。
HCH_012_241_000322	無何，吏部以年例出兩御史於外，不關都察院。
HCH_012_241_000323	瑋以失職，求去益力，疏十餘上。
