HCH_013_007_000000	吳元年，元至正二十七年也。
HCH_013_007_000065	五月己卯，征南將軍廖永忠、參政朱亮祖等兵至梧州，元達魯花赤拜住率官吏父老迎降。
HCH_013_007_000066	時元吏部尚書普顏帖木兒、張翔以便宜行事入廣西，行次藤州，永忠兵適至，募兵欲迎戰，民無應者。
HCH_013_007_000067	既而藤州守吳鏞出降，乃率所部百餘人走欎林。
HCH_013_007_000068	亮祖勒兵追之，普顏帖木兒戰沒，張翔赴水死。
HCH_013_007_000069	亮祖駐兵藤州。
HCH_013_007_000070	甲午，朱亮祖引兵至容州，同知明普化及普寧縣達魯花赤間買等迎降。
HCH_013_007_000071	朱亮祖師次貴州，元欎林州知州張那海迎降。
HCH_013_007_000072	六月甲辰，元海南、海北道元帥羅福等及海南分府元帥陳乾富等，俱遣使降。
HCH_013_007_000073	壬戌，克靖江路。
HCH_013_007_000074	先是，周德興克全州，即分兵柵據靖江險要，絕其聲援。
HCH_013_007_000075	璟既克永州，遂引兵抵靖江城下，屯於北關。
HCH_013_007_000076	參政張彬屯西關。
HCH_013_007_000077	朱亮祖亦帥師自廣東來會，屯於東門象鼻山下。
HCH_013_007_000078	攻城二旬不克。
HCH_013_007_000079	璟語諸將校曰：「彼所恃者，西城濠水耳。當先取閘口關，決其堤岸，則破之必矣。」
HCH_013_007_000080	諸將曰：「諾。」
HCH_013_007_000081	明日，遣指揮使丘廣引輕兵攻閘口關，殺守堤兵，決堤，濠水涸，因築土堤，近與城接，以通士卒。
HCH_013_007_000082	遂克其北門月城，又克其北門水隘，斬獲百餘人。
HCH_013_007_000083	復攻其西門，不利。
HCH_013_007_000084	相持凡兩閱月，攻圍益力。
HCH_013_007_000085	也兒吉尼勢窮蹙，驅兵南門出戰，指揮胡海擊敗之，獲其萬戶皮彥高、楊天壽等。
HCH_013_007_000086	璟因使彥高陰搆其總制張榮。
HCH_013_007_000087	榮麾下裴觀以書繫矢射璟營，期以是夜降。
HCH_013_007_000088	既二鼓，觀縋城出，見璟，備言城中積貯空虛，人無鬬志，可立取狀。
HCH_013_007_000089	璟乃給白皮帽百餘，俾歸為識，約四鼓，從賓賢門入。
HCH_013_007_000090	至期，璟命諸將率眾逕進，也兒吉尼聞變，倉卒走，追至城東伏波門，執之。
HCH_013_007_000091	初，張彬始攻城，為守者所詬，恚曰：「城破，當悉屠之。」
HCH_013_007_000092	比克城，璟懼其縱殺，下令曰：「殺人者死！」
HCH_013_007_000093	彬乃止，眾心遂安。
HCH_013_007_000094	戊辰，廖永忠進兵南寧，元土浪屯田千戶宋真執其守將平章咬住等遣使降。
HCH_013_007_000095	永忠悉收諸司印章，命真守其城，送咬住等赴京師。
HCH_013_007_000096	七月己巳，廣西左江太平府土官黃英衍、右江田州府土官岑伯顏等，遣使齎印章詣平章楊璟降。
HCH_013_007_000097	元平章阿思蘭自全州之敗，率餘眾退保象州。
HCH_013_007_000098	廖永忠遣指揮耿天璧等討之。
HCH_013_007_000099	師至賓州境，阿思蘭遣其部將李左丞拒戰，天璧擊敗之。
HCH_013_007_000100	阿思蘭窮迫，乃遣其子僧保來納款。
HCH_013_007_000101	戊子，遂自帥所部詣永忠降，獻其銀印三，銅印三十七，金牌五。
HCH_013_007_000102	丁酉，元彬州守將左丞楊以誠詣平章楊璟營降。
HCH_013_007_000103	廣西悉平，楊璟等自靖江振旅還。
HCH_013_007_000104	二年二月，詔改慶遠府為慶遠南丹軍民安撫司。
HCH_013_007_000105	湖廣行省臣言：「慶遠地接八番溪洞，所轄南丹、宜山等處，宋、元皆用其土酋為安撫使。大兵下廣西，安撫使莫天祐首來款附，宜錄用以統其民，則蠻情易服，守兵可減。」
HCH_013_007_000106	上從之，以天祐為安撫司同知。
HCH_013_007_000107	三月癸亥，置廣西行省。
HCH_013_007_000108	初，廣西隸湖廣，至是時置行省。
HCH_013_007_000109	九月戊午，征南將軍廖永忠、副將軍朱亮祖還京師。
HCH_013_007_000110	冬十一月丙午，遣中書照磨蘭以權齎詔往諭廣西左、右兩江溪洞官民曰：「朕惟武功以定天下，文教以化遠人，此古先哲王威德並施，遐邇咸服者也。睠茲兩廣，地邊南徼，風俗質樸，自唐、宋以來，黃、岑二氏代居其間，世亂則保境土，世治則修職貢，良由審時知幾，故保世滋大。頃者朕命將南征，八閩克清，兩廣平定，爾等不煩師旅，奉印來歸，嚮慕之誠，良足嘉尚。今特遣使往諭，爾其克慎乃心，益懋厥職，宣布朕意，以安居民。」
