HCH_009_116_000000	徒單兀典，不知其所始，累官為武勝軍節度使，駐鄧州。
HCH_009_116_000201	先是，忠孝軍都統張姓者，謂官奴決欲劫上北降，遂率本軍百五十人圍官奴之第，數之曰：「汝欲獻主上，我輩皆大朝不赦者，使安歸乎？」
HCH_009_116_000202	官奴懼，乃以其母出質，雲：「汝等若以吾母自北中來，疑我與北有謀，即殺之。我不恨。」
HCH_009_116_000203	張意稍解，既以好語與之約曰：「果如參政所言，今後勿複言講和，北使至，即當殺之。」
HCH_009_116_000204	官奴曰：「殺亦可，不殺亦可，奏而殺之亦可。」
HCH_009_116_000205	張乃退，官奴即聚軍北草場，自言無反情，今勿複相疑也。
HCH_009_116_000206	遂畫斫營之策。
HCH_009_116_000207	五月五日，祭天。
HCH_009_116_000208	軍中陰備火槍戰具，率忠孝軍四百五十人，自南門登舟，由東而北，夜殺外提邏卒，遂至王家寺。
HCH_009_116_000209	上禦北門，系舟待之。
HCH_009_116_000210	慮不勝則入徐州而遁。
HCH_009_116_000211	四更接戰，忠孝初小卻。
HCH_009_116_000212	再進，官奴以小船分軍五七十出柵外，腹背攻之。
HCH_009_116_000213	持火槍突入，北軍不能支，即大潰，溺水死者凡三千五百餘人，盡焚其柵而還。
HCH_009_116_000214	遂真拜官奴參知政事、兼左副元帥，仍以禦馬賜之。
HCH_009_116_000215	槍制，以敕黃紙十六重為筒，長二尺許，實以柳炭、鐵滓、磁未、硫黃、砒霜之屬，以繩系槍端。
HCH_009_116_000216	軍士各懸小鐵罐藏火，臨陣燒之，焰出槍前丈餘，藥盡而筒不損。
HCH_009_116_000217	蓋汴京被攻已嘗得用，今複用之。
HCH_009_116_000218	兵既退，官奴入亳州，留習顯總其軍。
HCH_009_116_000219	上禦照碧堂，無一人敢奏對者，日悲泣雲：「自古無不亡之國、不死之君，但恨我不知用人，故為此奴所囚耳。」
HCH_009_116_000220	於是，內局令宋乞奴與奉禦吾古孫愛實、納蘭忔答、女奚烈完出密謀誅官奴。
HCH_009_116_000221	或言，官奴密令兀惹計構國用安，脅上傳位，恢復山東。
HCH_009_116_000222	事不成則獻上于宋，自贖反復之罪。
HCH_009_116_000223	官奴以己未往亳州，辛酉，召之還，不至。
HCH_009_116_000224	再召，乃以六月己卯還。
HCH_009_116_000225	上諭以幸蔡事，官奴憤憤而出，至於扼腕頓足，意趣叵測。
HCH_009_116_000226	上決意欲誅之，遂與內侍宋乞奴處置，令裴滿抄合召宰相議事，完出伏照碧堂門間。
HCH_009_116_000227	官奴進見，上呼參政，官奴即應。
HCH_009_116_000228	完出從後刺其肋，上亦拔劍斫之。
HCH_009_116_000229	官奴中創投階下以走，完出叱忔答、愛實追殺之。
HCH_009_116_000230	忠孝軍聞難，皆擐甲，完出請上親撫慰之。
HCH_009_116_000231	名呼李泰和，授以虎符，使往勞軍，因召范陳僧、王山兒、白進、阿裏合。
HCH_009_116_000232	進先至，殺之堂下。
HCH_009_116_000233	阿裏合中路覺其事，悔發之晚，為亂箭所射而死。
HCH_009_116_000234	乞奴、愛實、忔答皆授節度使、世襲千戶，完出兼殿前右衛將軍，范陳僧、王山兒忠孝軍元帥。
HCH_009_116_000235	於是，上禦雙門，赦忠孝軍以安反側。
HCH_009_116_000236	除崔立不赦外，其餘常所不原者鹹赦之。
HCH_009_116_000237	初，官奴解睢陽之圍，侍從官屬久苦饑窘，聞蔡州城池堅固、兵眾糧廣，咸勸上南幸。
HCH_009_116_000238	惟官奴以嘗從點檢內族斜烈過蔡，知其備禦不及睢陽，力爭以為不可，故號於眾曰：「敢言南遷者斬！」
HCH_009_116_000239	眾以官奴為無君，諷上早為計，會其變，遂以計誅之。
HCH_009_116_000240	後遣烏古論蒲鮮如蔡，還言其城池兵糧果不足恃，上已在道，無可奈何。
HCH_009_116_000241	及蔡受兵，始悔不用官奴之言，特詔尚書省月給其母妻糧，俾無失所。
HCH_009_116_000242	習顯既黨官奴，一日率忠孝軍劫官庫金四千兩。
HCH_009_116_000243	上命歸德治中溫特罕道僧、帥府經歷把奴申鞫問，顯伏罪下獄。
HCH_009_116_000244	官奴變，顯脫走，殺總領完顏長樂於宮門，殺道僧、奴申於其家，遂奔亳。
HCH_009_116_000245	及官奴伏誅，詔點檢阿勒根阿失答即亳州斬顯及忠孝軍首領數人。
HCH_009_116_000246	兀惹使用安未還，伺于中路，數其罪殺之。
HCH_009_116_000247	內族慶山奴，名承立，字獻甫，統軍使拐山之子，平章白撒之從弟也。
HCH_009_116_000248	為人儀觀甚偉，而內恇怯無所有。
HCH_009_116_000249	至甯初，宣宗自彰德赴闕，慶山奴迎見於台城。
HCH_009_116_000250	宣宗喜，遣先還中都觀變。
HCH_009_116_000251	宣宗既即位，以承立為西京副留守，權近侍局直長，進官五階，賜錢五千貫，且詔曰：「汝雖授此職，姑留侍朕，遇闕赴之，仍給汝副留守祿。此朕特恩，宜知悉也。」
HCH_009_116_000252	貞祐初，遷武衛軍副都指揮使，兼提點近侍局。
HCH_009_116_000253	胡沙虎專權僭竊，嘗為宣宗言之，後胡沙虎伏誅，慶山奴愈見寵倖，以為殿前右副都點檢。
HCH_009_116_000254	三年，大元兵圍中都，詔以慶山奴為宣差便宜都提控，率所募兵往援。
HCH_009_116_000255	俄為元帥右都監，行帥府事，兼前職。
HCH_009_116_000256	四年，知慶陽府事，兼慶原路兵馬都總管，以所獲馬駝進，詔諭曰：「此皆軍士所得，即以與之可也，朕安用哉。後勿複進。」
HCH_009_116_000257	因令遍諭諸道帥府焉。
HCH_009_116_000258	興定元年正月，大元兵及夏人回經甯州，慶山奴以兵邀擊敗之，以功進元帥左都監，兼保大軍節度使，行帥府事於鄜州。
HCH_009_116_000259	二年五月，夏人率步騎三千由葭州入寇，慶山奴以兵逆之，戰于馬吉峰，殺百餘人，斬酋首二級，生擒數十人，獲馬三十餘疋。
HCH_009_116_000260	三年四月，夏人據通秦寨，慶山奴遣提控納合買住討之。
HCH_009_116_000261	夏人以步騎二萬逆戰，買住擊敗之，夏人由葭盧川遁去，凡斬首八百級。
HCH_009_116_000262	俄而複攻寨據之，慶山奴率兵與戰，斬首千級，複其寨。
HCH_009_116_000263	詔賜慶山奴金帶一，將士賞賚有差。
HCH_009_116_000264	四年四月，破夏兵於宥州，斬首千餘級，遂圍神堆府。
HCH_009_116_000265	慶山奴四面攻之，士卒方登陴，援兵大至，複擊走之。
HCH_009_116_000266	正大四年，李全據楚州，詔以慶山奴為元帥，同總帥完顏訛可將兵守盱眙，且令城守勿出戰。
HCH_009_116_000267	已而全軍盱眙界，二帥迎敵大敗，死者萬余人，委棄資杖甚眾，時軍無見糧，轉輸不繼，民疲奔命，愁歎盈路。
HCH_009_116_000268	諸相不肯正言，樞密判官白華拜章乞斬之以謝天下，不報。
HCH_009_116_000269	降為定國軍節度使，又以受賂奪一官。
HCH_009_116_000270	八年正月，鳳翔破，兩行省徙京兆居民于河南，令慶山奴以行省守之。
HCH_009_116_000271	時京兆行省止有病卒八百、瘦馬二百，承立懼不能守，屢上奏請還。
HCH_009_116_000272	每奏一帖，附其兄白撒一書，令為地，朝廷不許。
HCH_009_116_000273	十月，慶山奴棄京兆還朝，留同知乾州軍州事、保義軍提控苟琪守之。
HCH_009_116_000274	慶山奴行至閿鄉，哀宗遣近侍裴滿七斤授以黃陵岡從宜，不聽入見。
HCH_009_116_000275	未幾，代徒單兀典行省事於徐州。
HCH_009_116_000276	九年正月，自徐引兵入援，選精銳一萬五千，與徐帥完顏兀論統之，將趨歸德。
HCH_009_116_000277	義勝軍總領侯進、杜政、張興等率所部三千人降大兵。
HCH_009_116_000278	慶山奴留睢州三日不敢進，聞大兵且至，懼此州不可守，退保歸德。
HCH_009_116_000279	二月，行次楊驛店，遇小乃泬軍。
HCH_009_116_000280	遂潰。
HCH_009_116_000281	兀論戰死，慶山奴馬躓被擒，惟元帥郭恩、都尉烏林答阿督率三百餘人走歸德。
HCH_009_116_000282	大兵以一馬載慶山奴，擁迫而行，道中見真定史帥，承立問曰：「君為誰？」
HCH_009_116_000283	史帥言：「我真定五路史萬戶也。」
HCH_009_116_000284	承立曰：「是天澤乎？」
HCH_009_116_000285	曰：「然。」
HCH_009_116_000286	曰：「吾國已殘破，公其以生靈為念。」
HCH_009_116_000287	及見大帥忒木泬，誘之使招京城，不從，又偃蹇不屈。
HCH_009_116_000288	左右以刀斫其足折，亦不降，即殺之。
HCH_009_116_000289	議者以承立累敗不能解其軍職，死有餘責，而能以死報國，亦足稱雲。
