HCH_010_083_000001	耶律休哥，字遜寧。
HCH_010_083_000047	宋師望塵奔竄，墮岸相蹂死者過半，沙河為之不流。
HCH_010_083_000048	太后旋旆，休哥收宋屍為京觀。
HCH_010_083_000049	封宋國王。
HCH_010_083_000050	又上言，可乘宋弱，略地至河為界。
HCH_010_083_000051	書奏，不納。
HCH_010_083_000052	及太后南征，休哥為先鋒，敗宋兵於望都。
HCH_010_083_000053	時宋將劉廷讓以數萬騎並海而出，約與李敬源合兵，聲言取燕。
HCH_010_083_000054	休哥聞之，先以兵扼其要地。
HCH_010_083_000055	會太后軍至，接戰，殺敬源，廷讓走瀛州。
HCH_010_083_000056	七年，宋遣劉廷讓等乘暑潦來攻易州，諸將憚之；獨休哥率銳卒逆擊於沙河之北，殺傷數萬，獲輜重不可計，獻於朝。
HCH_010_083_000057	太后嘉其功，詔免拜、不名。
HCH_010_083_000058	自是宋不敢北向。
HCH_010_083_000059	時宋人欲止兒啼，乃曰：「於越至矣！」
HCH_010_083_000060	休哥以燕民疲弊，省賦役，恤孤寡，戒戍兵無犯宋境，雖馬牛逸於北者悉還之。
HCH_010_083_000061	遠近向化，邊鄙以安。
HCH_010_083_000062	十六年，薨。
HCH_010_083_000063	是夕，雨木冰。
HCH_010_083_000064	聖宗詔立祠南京。
HCH_010_083_000065	休哥智略宏遠，料敵如神。
HCH_010_083_000066	每戰勝，讓功諸將，故士卒樂為之用。
HCH_010_083_000067	身更百戰，未嘗殺一無辜。
HCH_010_083_000068	二子：高八，官至節度使；高十，終於越。
HCH_010_083_000069	孫馬哥。
HCH_010_083_000070	馬哥，字訛特懶。
HCH_010_083_000071	興宗時，以散職入見，上問：「卿奉佛乎？」
HCH_010_083_000072	對曰：「臣每旦誦太祖、太宗及先臣遺訓，未暇奉佛。」
HCH_010_083_000073	帝悅。
HCH_010_083_000074	清寧中，遷唐古部節度使。
HCH_010_083_000075	咸雍中，累遷匡義軍節度使。
HCH_010_083_000076	大康初，致仕，卒。
HCH_010_083_000077	耶律斜軫，字韓隱，於越曷魯之孫。
HCH_010_083_000078	性明敏，不事生產。
HCH_010_083_000079	保寧元年，樞密使蕭思溫薦斜軫有經國才，上曰：「朕知之，第佚蕩，豈可羈屈？」
HCH_010_083_000080	對曰：「外雖佚蕩，中未可量。」
HCH_010_083_000081	乃召問以時政，占對剴切，帝器重之。
HCH_010_083_000082	妻以皇后之侄，命節制西南面諸軍，仍援河東。
HCH_010_083_000083	改南院大王。
HCH_010_083_000084	乾亨初，宋再攻河東，從耶律沙至白馬嶺遇敵，沙等戰不利；斜軫赴之，令麾下萬矢齊發，敵氣褫而退。
HCH_010_083_000085	是年秋，宋下河東，乘勝襲燕，北院大王耶律奚底與蕭討古逆戰，敗績，退屯清河北。
HCH_010_083_000086	斜軫取奚底等青幟軍於得勝口以誘敵，敵果爭赴。
HCH_010_083_000087	斜軫出其後，奮擊敗之。
HCH_010_083_000088	及高梁之戰，與耶律休哥分左右翼夾擊，大敗宋軍。
HCH_010_083_000089	統和初，皇太后稱制，益見委任，為北院樞密使。
HCH_010_083_000090	會宋將曹彬、米信出雄、易，楊繼業出代州。
HCH_010_083_000091	太后親帥師救燕，以斜軫為山西路兵馬都統。
HCH_010_083_000092	繼業陷山西諸郡，各以兵守，自屯代州。
HCH_010_083_000093	斜軫至定安，遇賀令圖軍，擊破之，追至五臺，斬首數萬級。
HCH_010_083_000094	明日，至蔚州，敵不敢出，斜軫書帛射城上，諭以招慰意。
HCH_010_083_000095	陰聞宋軍來救，令都監耶律題子夜伏兵險厄，俟敵至而發。
HCH_010_083_000096	城守者見救至，突出。
HCH_010_083_000097	斜軫擊其背，二軍俱潰，追至飛狐，斬首二萬餘級，遂取蔚州。
HCH_010_083_000098	賀令圖、潘美復以兵來，斜軫逆於飛狐，擊敗之。
HCH_010_083_000099	宋軍在渾源、應州者，皆棄城走。
HCH_010_083_000100	斜軫聞繼業出兵，令蕭撻凜伏兵於路。
HCH_010_083_000101	明旦，繼業兵至，斜軫擁眾為戰勢。
HCH_010_083_000102	繼業麾幟而前，斜軫佯退。
HCH_010_083_000103	伏兵發，斜軫進攻，繼業敗走，至狼牙村，眾軍皆潰。
HCH_010_083_000104	繼業為流矢所中，被擒。
HCH_010_083_000105	斜軫責曰：「汝與我國角勝三十餘年，今日何面目相見！」
HCH_010_083_000106	繼業但稱死罪而已。
HCH_010_083_000107	初，繼業在宋以驍勇聞，人號楊無敵，首建梗邊之策。
HCH_010_083_000108	至狼牙村，心惡之，欲避不可得。
HCH_010_083_000109	既擒，三日死。
HCH_010_083_000110	斜軫歸闕，以功加守太保。
HCH_010_083_000111	從太后南伐，卒於軍。
HCH_010_083_000112	太后親為哀臨，仍給葬具。
HCH_010_083_000113	庶子狗兒，官至小將軍。
HCH_010_083_000114	耶律奚低，孟父楚國王之後。
HCH_010_083_000115	便弓馬，勇於攻戰。
HCH_010_083_000116	景宗時，多任以軍事。
HCH_010_083_000117	統和四年，為右皮室詳穩。
HCH_010_083_000118	時宋將楊繼業陷山西郡縣，奚低從樞密使斜軫討之。
HCH_010_083_000119	凡戰必以身先，矢無虛發。
HCH_010_083_000120	繼業敗於朔州之南，匿深林中。
HCH_010_083_000121	奚低望袍影而射，繼業墮馬。
HCH_010_083_000122	先是，軍令須生擒繼業，奚低以故不能為功。
HCH_010_083_000123	後太后南伐，屢有戰績。
HCH_010_083_000124	以病卒。
HCH_010_083_000125	耶律學古，字乙辛隱，於越窪之庶孫。
HCH_010_083_000126	穎悟好學，工譯鞮及詩。
HCH_010_083_000127	保寧中，補禦盞郎君。
HCH_010_083_000128	乾亨元年，宋既下河東，乘勝侵燕，學古受詔往援。
HCH_010_083_000129	始至京，宋敗耶律奚底、蕭討古等，勢益張，圍城三周，穴地而進，城中民懷二心。
HCH_010_083_000130	學古以計安反側，隨宜備禦，晝夜不少懈。
HCH_010_083_000131	適有敵三百餘人夜登城，學古戰卻之。
HCH_010_083_000132	會援軍至，圍遂解。
HCH_010_083_000133	學古開門列陣，四面鳴鼓，居民大呼，聲震天地。
HCH_010_083_000134	旋有高梁之捷。
HCH_010_083_000135	以功遙授保靜軍節度使，為南京馬步軍都指揮使。
HCH_010_083_000136	二年，伐宋，乞將漢軍，從之，改彰國軍節度使。
HCH_010_083_000137	時南境未靜，民思休息，學古禁寇掠以安之。
HCH_010_083_000138	會宋將潘美率兵分道來侵，學古以軍少，虛張旗幟，雜丁黃為疑兵。
HCH_010_083_000139	是夜，適獨虎峪舉烽火，遣人偵視，見敵俘掠村野，擊之，悉獲所掠物，擒其將領。
HCH_010_083_000140	自是學古與潘美各守邊約，無相侵軼，民獲安業。
HCH_010_083_000141	以功為惕隱，卒。
HCH_010_083_000142	弟烏不呂。
HCH_010_083_000143	烏不呂，字留隱。
HCH_010_083_000144	嚴重，有膂力，善屬文。
HCH_010_083_000145	統和中伐宋，屢任以軍事。
HCH_010_083_000146	嘗與爻直不相能，因曰：「爾奴才，何所知？」
HCH_010_083_000147	爻直訟於北院樞密使韓德讓。
HCH_010_083_000148	德讓怒，問曰：「爾安得此奴耶？」
HCH_010_083_000149	烏不呂對曰：「三父異籍時亦易得。」
HCH_010_083_000150	德讓笑而釋之。
HCH_010_083_000151	後從蕭恒德伐蒲盧毛朵部，以功為東路統軍都監。
HCH_010_083_000152	及德讓為大丞相，薦其材可任統軍使，太后曰：「烏不呂嘗不遜於卿，何善而薦？」
HCH_010_083_000153	德讓奏曰：「臣忝相位，於臣猶不屈，況於其餘。以此知可用。若任使之，必能鎮撫諸蕃。」
HCH_010_083_000154	太后從之，加金紫崇祿大夫、檢校太尉。
HCH_010_083_000155	而弟國留以罪亡，烏不呂及其母俱下吏。
HCH_010_083_000156	恐禍及母，陰使人召國留，紿曰：「太后知事之誣，汝第來勿畏。」
HCH_010_083_000157	國留至，送有司，坐誅。
HCH_010_083_000158	其後，退歸田里，以疾卒。
HCH_010_083_000159	論曰：宋乘下太原之銳，以師圍燕，繼遣曹彬、楊繼業等分道來伐。
HCH_010_083_000160	是兩役也，遼亦岌岌乎殆哉！
HCH_010_083_000161	休哥奮擊於高梁，敵兵奔潰；斜軫擒繼業於朔州，旋復故地。
HCH_010_083_000162	宋自是不復深入，社稷固而邊境寧，雖配古名將，無愧矣。
HCH_010_083_000163	然非學古之在南京安其反側，則二將之功，蓋亦難致。
HCH_010_083_000164	故曰國以人重，信哉！
HCH_010_083_000165	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
