HCH_009_002_000000	太祖應乾興運昭德定功仁明莊孝大聖武元皇帝，諱旻，本諱阿骨打，世祖第二子也。
HCH_009_002_000140	太祖曰：「一戰而勝，遂稱大號，何示人淺也。」
HCH_009_002_000141	進軍甯江州，諸軍填塹攻城。
HCH_009_002_000142	甯江人自東門出，溫蒂痕、阿徒罕邀擊，盡殪之。
HCH_009_002_000143	十月朔，克其城，獲防禦使大藥師奴，陰縱之，使招諭遼人。
HCH_009_002_000144	鐵驪部來送款。
HCH_009_002_000145	次來流城，以俘獲賜將士。
HCH_009_002_000146	召渤海梁福、斡答剌使之偽亡去，招諭其鄉人曰：「女直、渤海本同一家，我興師伐罪，不濫及無辜也。」
HCH_009_002_000147	使完顏婁室招諭系遼籍女直。
HCH_009_002_000148	師還，謁宣靖皇后，以所獲頒宗室耆老，以實里館貲產給將士。
HCH_009_002_000149	初命諸路以三百戶爲謀克，十謀克爲猛安。
HCH_009_002_000150	酬斡等撫定讒謀水女直。
HCH_009_002_000151	鱉古酋長胡蘇魯以城降。
HCH_009_002_000152	十一月，遼都統蕭糺里、副都統撻不野將步騎十萬會于鴨子河北。
HCH_009_002_000153	太祖自將擊之。
HCH_009_002_000154	未至鴨子河，既夜，太祖方就枕，若有扶其首者三，寤而起，曰：「神明警我也！」
HCH_009_002_000155	即鳴鼓舉燧而行。
HCH_009_002_000156	黎明及河，遼兵方壞淩道，選壯士十輩擊走之。
HCH_009_002_000157	大軍繼進，遂登岸。
HCH_009_002_000158	甲士三千七百，至者才三之一。
HCH_009_002_000159	俄與敵遇于出河店，會大風起，塵埃蔽天，乘風勢擊之，遼兵潰。
HCH_009_002_000160	逐至斡論濼，殺獲首虜及車馬甲兵珍玩不可勝計，遍賜官屬將士，燕犒彌日。
HCH_009_002_000161	遼人嘗言女直兵若滿萬則不可敵，至是始滿萬雲。
HCH_009_002_000162	斡魯古敗遼兵，斬其節度使撻不野。
HCH_009_002_000163	僕虺等攻賓州，拔之。
HCH_009_002_000164	兀惹雛鶻室來降。
HCH_009_002_000165	遼將赤狗兒戰于賓州，僕虺、渾黜敗之。
HCH_009_002_000166	鐵驪王回離保以所部降。
HCH_009_002_000167	吾睹補、蒲察復敗赤狗兒、蕭乙薛軍于祥州東。
HCH_009_002_000168	斡忽、急塞兩路降。
HCH_009_002_000169	斡魯古敗遼軍于鹹州西，斬統軍實婁于陣。
HCH_009_002_000170	完顏婁室克鹹州。
HCH_009_002_000171	是月，吳乞買、撒改、辭不失率宮屬諸將勸進，願以新歲元日恭上尊號，太祖不許。
HCH_009_002_000172	阿離合懣、蒲家奴、宗翰等進曰：「今大功已建，若不稱號，無以系天下心。」
HCH_009_002_000173	太祖曰：「吾將思之。」
HCH_009_002_000174	收國元年正月壬申朔，群臣奉上尊號。
HCH_009_002_000175	是日，即皇帝位。
HCH_009_002_000176	上曰：「遼以賓鐵爲號，取其堅也。賓鐵雖堅，終亦變壞，惟金不變不壞。金之色白，完顏部色尚白。」
HCH_009_002_000177	于是國號大金，改元收國。
HCH_009_002_000178	丙子，上自將攻黃龍府，進臨益州。
HCH_009_002_000179	州人走保黃龍，取其餘民以歸。
HCH_009_002_000180	遼遣都統耶律訛里朵、左副統蕭乙薛、右副統耶律張奴、都監蕭謝佛留，騎二十萬、步卒七萬戍邊。
HCH_009_002_000181	留婁室、銀朮可守黃龍，上率兵趨達魯古城，次甯江州西。
HCH_009_002_000182	遼使僧家奴來議和，國書斥上名，且使爲屬國。
HCH_009_002_000183	庚子，進師，有火光正圓，自空而墜。
HCH_009_002_000184	上曰：「此祥征，殆天助也！」
HCH_009_002_000185	酹白水而拜，將士莫不喜躍，進逼達魯古城。
HCH_009_002_000186	上登高望遼兵若連雲灌木狀，顧謂左右曰：「遼兵心貳而情怯。雖多不足畏！」
HCH_009_002_000187	遂趨高阜爲陣。
HCH_009_002_000188	宗雄以右翼先馳遼左軍，左軍卻。
HCH_009_002_000189	左翼出其陣後，遼右軍皆力戰。
HCH_009_002_000190	婁室、銀朮可沖其中堅。
HCH_009_002_000191	凡九陷陣，皆力戰而出。
HCH_009_002_000192	宗翰請以中軍助之。
HCH_009_002_000193	上使宗幹往爲疑兵。
HCH_009_002_000194	宗雄已得利，擊遼右軍，遼兵遂敗。
HCH_009_002_000195	乘勝追躡，至其營，會日已暮，圍之。
HCH_009_002_000196	黎明，遼軍潰圍出，逐北至阿婁岡。
HCH_009_002_000197	遼步卒盡殪，得其耕具數千以給諸軍。
HCH_009_002_000198	是役也，遼人本欲屯田，且戰且守，故並其耕具獲之。
HCH_009_002_000199	二月，師還。
HCH_009_002_000200	三月辛未朔，獵于寥晦城。
HCH_009_002_000201	四月，遼耶律張奴以國書來。
HCH_009_002_000202	上以書辭慢侮，留其五人，獨遣張奴回報，書亦如之。
HCH_009_002_000203	五月庚午朔，避暑于近郊。
HCH_009_002_000204	甲戌，拜天射柳。
HCH_009_002_000205	故事，五月五日、七月十五日、九月九日拜天射柳，歲以爲常。
HCH_009_002_000206	六月己亥朔，遼耶律張奴復以國書來，猶斥上名。
HCH_009_002_000207	上亦斥遼主名以復之，且諭之使降。
HCH_009_002_000208	七月戊辰，以弟吳乞買爲諳班勃極烈，國相撒改爲國論勃極烈。
HCH_009_002_000209	辭不失爲阿買勃極烈，弟斜也爲國論昊勃極烈，甲戌，遼使辭剌以書來，留之不遣。
HCH_009_002_000210	九百奚營來降。
HCH_009_002_000211	八月戊戌，上親征黃龍府。
HCH_009_002_000212	次混同江，無舟，上使一人道前，乘赭白馬徑涉，曰：「視吾鞭所指而行。」
HCH_009_002_000213	諸軍隨之，水及馬腹。
HCH_009_002_000214	後使舟人測其渡處，深不得其底。
HCH_009_002_000215	熙宗天眷二年，以黃龍府爲濟州，軍曰利涉，蓋以太祖涉濟故也。
HCH_009_002_000216	九月，克黃龍府，遣辭剌還，遂班師。
HCH_009_002_000217	至江，徑渡如前。
HCH_009_002_000218	丁丑，至自黃龍府。
HCH_009_002_000219	己卯，黃龍見空中。
HCH_009_002_000220	癸巳，以國論勃極烈撒改爲國論忽魯勃極烈，阿離合懣爲國論乙室勃極烈。
HCH_009_002_000221	十一月，遼主聞取黃龍府，大懼，自將七十萬至駝門。
HCH_009_002_000222	附馬蕭特末、林牙蕭查剌等騎五萬、步四十萬至斡鄰濼。
HCH_009_002_000223	上自將御之。
HCH_009_002_000224	十二月己亥，行次爻剌，會諸將議。
HCH_009_002_000225	皆曰：「遼兵號七十萬，其鋒未易當。吾軍遠來。人馬疲乏，宜駐于此，深溝高壘以待。」
HCH_009_002_000226	上從之。
HCH_009_002_000227	遣迪古乃、銀朮可鎮達魯古。
HCH_009_002_000228	丁未，上以騎兵親候遼軍，獲督餉者，知遼主以張奴叛，西還二日矣。
HCH_009_002_000229	是日，上還至熟結濼，有光見于予端。
HCH_009_002_000230	戊申，諸將曰：「今遼主既還，可乘怠追擊之。」
HCH_009_002_000231	上曰「敵來不迎戰，去而追之，欲以此爲勇邪？」
HCH_009_002_000232	衆皆悚愧，願自效。
HCH_009_002_000233	上復曰：「誠欲追敵，約齎以往，無事餫饋。若破敵，何求不得。」
HCH_009_002_000234	衆皆奮躍，追及遼主于護步答岡。
HCH_009_002_000235	是役也，兵止二萬。
HCH_009_002_000236	上曰：「彼衆我寡，兵不可分。視其中軍最堅，遼主必在焉。敗其中軍，可以得志。」
HCH_009_002_000237	使右翼先戰。
HCH_009_002_000238	兵數交，左翼合而攻之。
HCH_009_002_000239	遼兵大潰，我師馳之，橫出其中。
HCH_009_002_000240	遼師敗績，死者相屬百餘里。
HCH_009_002_000241	獲輿輦帟幄兵械軍資，他寶物馬牛不可勝計。
HCH_009_002_000242	是戰，斜也援矛殺數十人，阿離本被圍，溫蒂罕迪忽迭以四謀克兵出之，完顏蒙刮身被數創，力戰不已，功皆論最。
HCH_009_002_000243	蕭特末等焚營遁去，遂班師。
HCH_009_002_000244	來穀撒喝取開州，婆盧火下特鄰城，辭里罕降。
HCH_009_002_000245	二年正月戊子，詔曰：「自破遼兵，四方來降者衆，宜加優恤。自今契丹、奚、漢、渤海、系遼籍女直、室韋、達魯古、兀惹、鐵驪諸部官民，己降或爲軍所俘獲，逃遁而還者，勿以爲罪。其酋長仍官之，且使從宜居處。」
HCH_009_002_000246	閏月，高永昌據東京，使撻不野來求援。
HCH_009_002_000247	高麗遣使來賀捷，且求保州。
HCH_009_002_000248	詔許自取之。
HCH_009_002_000249	二月己巳，詔曰：「比以歲凶，庶民艱食，多依附豪族，因爲奴隸，及有犯法，征償莫辦，折身爲奴者，或私約立限，以人對贖，過期則爲奴者，並聽以兩人贖一爲良。若元約以一人贖者，即從元約。」
HCH_009_002_000250	四月乙丑，以斡魯統內外諸軍，與蒲察、迪古乃會咸州路都統斡魯古討高永昌。
HCH_009_002_000251	胡沙補等被害。
HCH_009_002_000252	五月，斡魯等敗永昌，撻不野擒永昌以獻，戮之于軍。
HCH_009_002_000253	東京州縣及南路系遼女直皆降。
HCH_009_002_000254	詔除遼法，省稅賦，置猛安謀克一如本朝之制。
HCH_009_002_000255	以斡魯爲南路都統。
HCH_009_002_000256	迭勃極烈阿徒罕破遼兵六萬于照散城。
HCH_009_002_000257	九月己亥，上獵近郊。
HCH_009_002_000258	乙巳，南路都統斡魯來見于婆盧買水。
HCH_009_002_000259	始制金牌。
HCH_009_002_000260	十二月庚申朔，諳班勃極烈吳乞買及群臣上尊號曰大聖皇帝，改明年爲天輔元年。
HCH_009_002_000261	天輔元年正月，開州叛，加古撒喝等討平之。
HCH_009_002_000262	國論昊勃極烈斜也以兵一萬取泰州。
HCH_009_002_000263	四月，遼秦晉國王耶律捏里來伐，迪古乃、婁室、婆盧火將兵二萬。
HCH_009_002_000264	會咸州路都統斡魯古擊之。
HCH_009_002_000265	五月丁巳，詔自收甯江州已後同姓爲婚者，杖而離之。
HCH_009_002_000266	七月戊申，以完顏斡論知東京事。
HCH_009_002_000267	八月癸亥，高麗遣使來請保州。
HCH_009_002_000268	十二月甲子，斡魯古等敗耶律捍里兵于蒺藜山，拔顯州，乾、懿、豪、徽、成、川、惠等州皆降。
HCH_009_002_000269	是月，宋使登州防禦使馬政以國書來，其略曰：「日出之分，實生聖人。竊聞征遼，屢破勍敵。若克遼之後，五代時陷入契丹漢地，願畀下邑。」
HCH_009_002_000270	二年正月庚寅，遼雙州節度使張崇降。
HCH_009_002_000271	使散睹如宋報聘，書曰：「所請之地，今當與宋夾攻，得者有之。」
HCH_009_002_000272	二月癸丑朔，遼使耶律奴哥等來議和。
HCH_009_002_000273	辛酉，孛堇迪古乃、婁室來見。
HCH_009_002_000274	上以遼主近在中京，而敢輒來，皆杖之。
HCH_009_002_000275	劾里保、雙古等言，鹹州都統斡魯古知遼主在中京而不進討，芻糧豐足而不以實聞，攻顯州時所獲生口財畜多自取。
HCH_009_002_000276	三月癸未朔，命闍哥代爲都統而鞫治之，斡魯古坐降謀克。
HCH_009_002_000277	壬辰，遼使耶律奴哥以國書來。
HCH_009_002_000278	庚子，以婁室言黃龍府地僻且遠，宜重戍守，乃命合諸路謀克，以婁室爲萬戶鎮之。
HCH_009_002_000279	四月辛巳，遼使以國書來。
HCH_009_002_000280	五月丙申，命胡突袞如遼。
HCH_009_002_000281	六月甲寅，詔有司禁民淩虐典雇良人，及倍取贖直者。
HCH_009_002_000282	甲戌，遼通、祺、雙、遼等州八百餘戶來歸，命分置諸部，擇膏腴之地處之。
HCH_009_002_000283	七月癸未，詔曰：「匹里水路完顏朮里古、渤海大家奴等六謀克貧乏之民，昔嘗給以官糧，置之漁獵之地。今曆日已久，不知登耗，可具其數以聞。」
HCH_009_002_000284	胡突袞還自遼，耶律奴哥復以國書來。
HCH_009_002_000285	丙申，胡突袞如遼。
HCH_009_002_000286	遼戶二百來歸，處之泰州。
HCH_009_002_000287	詔遣阿里骨、李家奴、特里底招諭未降者。
HCH_009_002_000288	仍詔達魯古部勃堇辭列：「凡降附新民，善爲存撫。來者各令從便安居，給以官糧，毋輒動擾。」
HCH_009_002_000289	八月，胡突袞還自遼，耶律奴哥、突迭復以國書來。
HCH_009_002_000290	九月戊子，詔曰：「國書詔令，宜選善屬文者爲之。其令所在訪求博學雄才之士。敦遣赴闕。」
HCH_009_002_000291	閏月庚戌朔，以降將霍石、韓慶和爲千戶。
HCH_009_002_000292	九百奚部蕭寶、乙辛，北部訛里野，漢人王六兒、王伯龍，契丹特末、高從佑等，各率衆來降。
HCH_009_002_000293	遼耶律奴哥以國書來。
HCH_009_002_000294	十月癸未，以龍化州降者張應古、劉仲良爲千戶。
HCH_009_002_000295	乙未，鹹州都統司言，漢人李孝功、渤海二哥率衆來降。
HCH_009_002_000296	命各以所部爲千戶。
HCH_009_002_000297	十二月甲辰，遣孛堇朮孛以定遼地諭高麗。
HCH_009_002_000298	耶律奴哥以國書來。
HCH_009_002_000299	遼懿州節度使劉宏以戶三千並執遼候人來降，以爲千戶。
HCH_009_002_000300	川州寇二萬已降復叛，紇古烈照里擊破之。
HCH_009_002_000301	三年正月甲寅，東京人爲質者永吉等五人結衆叛。
HCH_009_002_000302	事覺，誅其首惡，余皆杖百，沒入在行家屬資產之半。
HCH_009_002_000303	詔知東京事斡論，繼有犯者並如之。
HCH_009_002_000304	丙辰，詔鱉古孛堇酬斡曰：「胡魯古、迭八合二部來送款，若等先時不無交惡，自今毋相侵擾。」
HCH_009_002_000305	三月，耶律奴哥以國書來。
HCH_009_002_000306	四月丙子朔，日有食之。
HCH_009_002_000307	五月壬戌，詔咸州路都統司曰：「兵興以前，曷蘇館、回怕里與系遼籍、不系遼籍女直戶民，有犯罪流竄邊境或亡入于遼者，本皆吾民，遠在異境，朕甚憫之。今即議和，當行理索。可明諭諸路千戶、謀克，遍與詢訪其官稱、名氏、地里，具錄以上。」
HCH_009_002_000308	六月辛卯，遼遣太傳習泥烈等奉冊爾來，上擿冊文不合者數事復之。
HCH_009_002_000309	散睹還自宋。
HCH_009_002_000310	宋使馬政及其子宏來聘。
HCH_009_002_000311	散睹受宋團練使，上怒，杖而奪之。
HCH_009_002_000312	宋使還，復遣孛堇辭列、魯等如宋。
HCH_009_002_000313	七月辛亥，遼人楊詢卿、羅子韋各率衆來降，命各以所部爲謀克。
HCH_009_002_000314	八月己丑，頒女直字。
HCH_009_002_000315	九月，以遼冊禮使失期，詔諸路軍過江屯駐。
HCH_009_002_000316	十一月，習泥烈等復以國書來。
HCH_009_002_000317	曷懶甸長城，高麗增築三尺。
HCH_009_002_000318	詔胡剌古、習顯慎固營壘。
HCH_009_002_000319	四年二月，辭列、曷魯還自宋。
HCH_009_002_000320	宋使趙良嗣、王暉來議燕京、西京地。
HCH_009_002_000321	三月甲辰，上謂群臣曰：「遼人屢敗，遣使求成，惟飾虛辭，以爲緩師之計，當議進討。其令咸州路統軍司治軍旅、修器械，具數以聞。」
HCH_009_002_000322	辛酉，詔咸州路都統司曰：「朕以遼國和議無成，將以四月二十五日進師。」
HCH_009_002_000323	令斜葛留兵一千鎮守，闍母以餘兵來會于渾河。
HCH_009_002_000324	遼習泥烈以國書來。
HCH_009_002_000325	四月乙未，上自將伐遼。
HCH_009_002_000326	以遼使習泥烈、宋使趙良嗣等從行。
HCH_009_002_000327	五月甲辰，次渾河西，使宗雄先趨上京，遣降者馬乙持詔諭城中。
HCH_009_002_000328	壬子，至上京，詔官民曰：「遼主失道，上下同怨。朕興兵以來，所過城邑負固不服者即攻拔之，降者撫恤之，汝等必聞之矣。今爾國和好之事，反覆見欺，朕不欲天下生靈久罹塗炭，遂決策進討。比遣宗雄等相繼招諭，尚不聽從。今若攻之，則城破矣！重以吊伐之義，不欲殘民，故開示明詔，諭以禍福，其審圖之。」
HCH_009_002_000329	上京人恃禦備儲蓄爲固守計。
HCH_009_002_000330	甲寅，亟命進攻。
HCH_009_002_000331	上謂習泥烈、趙良嗣等曰：「汝可觀吾用兵，以卜去就。」
HCH_009_002_000332	上親臨城，督將士諸軍鼓噪而進。
