HCH_016_007_000001	臨水祖道，軍陣固陵。
HCH_016_007_000201	猶縱毛爐炭之上幸其焦，投卵千鈞之下望必全，豈不殆哉？
HCH_016_007_000202	臣聞察登髙自知危，然不知所以自安也；前據白刃自知死，而不知所以自存也。
HCH_016_007_000203	惑者知返，迷道不遠。
HCH_016_007_000204	願大王察之。
HCH_016_007_000205	”吳王曰：“寡人有疾三月，曾不聞相國一言，是相國之不慈也；又不進口之所嗜，心不相思，是相國之不仁也。
HCH_016_007_000206	夫為人臣不仁不慈，焉能知其忠信者乎？
HCH_016_007_000207	越王迷惑？
HCH_016_007_000208	棄守邊之事，親將其臣民來歸寡人，是其義也；躬親為虜，妻親為妾，不慍寡人，寡人有疾，親嘗寡人之溲，是其慈也；虛其府庫，盡其寶幣，不念舊故，是其忠信也。
HCH_016_007_000209	三者既立，以養寡人，寡人曾聽相國而誅之，是寡人之不智也，而為相國快私意耶，豈不負皇天乎？
HCH_016_007_000210	”子胥曰：“何大王之言反也？
HCH_016_007_000211	夫虎之卑勢，將以有擊也；貍之卑身，將求所取也。
HCH_016_007_000212	雉以眩移拘於網，魚以有悅死於餌。
HCH_016_007_000213	且大王初臨政，負玉門之第九，誡事之敗，無咎矣。
HCH_016_007_000214	今年三月甲戌，時加雞鳴。
HCH_016_007_000215	甲戌，歲位之會將也。
HCH_016_007_000216	青龍在酉，德在上，刑在金，是日賊其德也。
HCH_016_007_000217	知父將有不順之子，君有逆節之臣。
HCH_016_007_000218	大王以越王歸吳為義，以飲溲食惡為慈，以虛府庫為仁，是故為無愛於人，其不可親。
HCH_016_007_000219	面聽貌觀以存其身。
HCH_016_007_000220	今越王入臣於吳，是其謀深也；虛其府庫，不見恨色，是欺我王也；下飲王之溲者，是上食王之心也；下嘗王之惡者，是上食王之肝也。
HCH_016_007_000221	大哉，越王之崇吳，吳將為所擒也。
HCH_016_007_000222	惟大王留意察之，臣不敢逃死以負前王。
HCH_016_007_000223	一旦社稷丘墟，宗廟荊棘，其悔可追乎？
HCH_016_007_000224	”吳王曰：“相國置之，勿復言矣。
HCH_016_007_000225	寡人不忍復聞。
HCH_016_007_000226	”於是遂赦越王歸國，送於蛇門之外，群臣祖道。
HCH_016_007_000227	吳王曰：“寡人赦君使其返國，必念終始。
HCH_016_007_000228	王其勉之。
HCH_016_007_000229	”越王稽首曰：“今大王哀臣孤窮，使得生全還國，與種蠡之徒願死於轂下。
HCH_016_007_000230	上天蒼蒼，臣不敢負。
HCH_016_007_000231	”吳王曰：“於乎！
HCH_016_007_000232	吾聞君子一言不再。
HCH_016_007_000233	今已行矣，王勉之。
HCH_016_007_000234	”越王再拜跪伏，吳王乃引越王登車，范蠡執禦，遂去。
HCH_016_007_000235	至三津之上，仰天歎曰：“嗟乎！
HCH_016_007_000236	孤之屯厄，誰念復生渡此津也？
HCH_016_007_000237	”謂范蠡曰：“今三月甲辰，時加日昳，孤蒙上天之命，還歸故鄉，得無後患乎？
HCH_016_007_000238	”范蠡曰：“大王勿疑，直視道行。
HCH_016_007_000239	越將有福，吳當有憂。
HCH_016_007_000240	”至浙江之上，望見大越山川重秀，天地再清。
HCH_016_007_000241	王與夫人歎曰：“吾已絕望，永辭萬民，豈料再還，重復鄉國？
HCH_016_007_000242	”言竟掩面，涕泣闌幹。
HCH_016_007_000243	此時萬姓鹹歡，群臣畢賀。
