HCH_012_223_000000	盛應期朱衡潘季馴萬恭吳桂芳王宗沐劉東星徐貞明盛應期，字思徵，吳江人。
HCH_012_223_000029	朝議大征岑猛。
HCH_012_223_000030	應期條上方略七事，言廣兵疲弱不可用。
HCH_012_223_000031	麒等恚。
HCH_012_223_000032	會御史許中劾應期暴虐，麒等因相與為流言。
HCH_012_223_000033	御史鄭洛書復劾應期賄結權貴。
HCH_012_223_000034	應期已遷工部侍郎，引疾歸。
HCH_012_223_000035	六年，黃河水溢入漕渠，沛北廟道口淤數十里，糧艘為阻，侍郎章拯不能治。
HCH_012_223_000036	尚書胡世寧、詹事霍韜、僉事江良材請於昭陽湖東別開漕渠，為經久計。
HCH_012_223_000037	議未定，以御史吳仲言召拯還，即家拜應期右都御史以往。
HCH_012_223_000038	應期乃議於昭陽湖東，北進江家口，南出留城口，開浚百四十餘里，較疏舊河力省而利永。
HCH_012_223_000039	夫六萬五千，銀二十萬兩，克期六月。
HCH_012_223_000040	工未成，會旱災修省，言者多謂開河非計，帝遽令罷役。
HCH_012_223_000041	應期請展一月竟其功，不聽。
HCH_012_223_000042	初，應期請令郎中柯維熊分浚支河，維熊力贊新河之議，至是亦言不便。
HCH_012_223_000043	應期上章自理，帝怒，詔與維熊俱奪職。
HCH_012_223_000044	世寧言：「新河之議倡自臣。應期克期六月，今四月，功已八九。緣程工促急，怨讟煩興。維熊反覆變詐，傾大臣，誤國事。自古國家僨大事，必責首議，臣請與同罷。」
HCH_012_223_000045	帝不許。
HCH_012_223_000046	後更赦，復官致仕，卒。
HCH_012_223_000047	應期罷後三十年，朱衡循新河遺跡成之，運道蒙利焉。
HCH_012_223_000048	朱衡，字士南，萬安人。
HCH_012_223_000049	嘉靖十一年進士。
HCH_012_223_000050	歷知尤溪、婺源，有治聲。
HCH_012_223_000051	遷刑部主事，歷郎中。
HCH_012_223_000052	出為福建提學副使，累官山東布政使。
HCH_012_223_000053	三十九年，進右副都御史巡撫其地。
HCH_012_223_000054	奏言：「比遼左告饑，暫弛登、萊商禁，轉粟濟之。猾商遂竊載他貨，往來販易，並開青州以西路。海島亡命，陰相構結，禁之便。」
HCH_012_223_000055	從之。
HCH_012_223_000056	召為工部右侍郎。
HCH_012_223_000057	四十四年，進南京刑部尚書。
HCH_012_223_000058	其秋，河決沛縣飛雲橋，東註昭陽湖，運道淤塞百餘里。
HCH_012_223_000059	改衡工部尚書兼右副都御史，總理河漕。
HCH_012_223_000060	衡馳至決口，舊渠已成陸。
HCH_012_223_000061	而故都御史盛應期所開新河，自南陽以南東至夏村，又東南至留城，故址尚在。
HCH_012_223_000062	其地高，河決至昭陽湖止，不能復東，可以通運，乃定議開新河，築堤呂孟湖以防潰決。
HCH_012_223_000063	河道都御史潘季馴以為浚舊渠便，議與衡不合。
HCH_012_223_000064	衡持益堅，引鮎魚、薛沙諸水入新渠，築馬家橋堤以遏飛雲橋決口，身自督工。
HCH_012_223_000065	劾罷曹濮副使柴淶，重繩吏卒不用命者，浮議遂起。
HCH_012_223_000066	明年，給事中鄭欽劾衡虐民幸功，詔遣給事中何起鳴往勘，工垂竣矣。
HCH_012_223_000067	及秋，河決馬家橋，議者紛然謂功不可成。
HCH_012_223_000068	起鳴初主衡議，亦變其說，與給事中王元春、御史黃襄交章請罷衡。
HCH_012_223_000069	會新河已成，乃止。
HCH_012_223_000070	河長一百九十四里。
HCH_012_223_000071	漕艘由境山入，通行至南陽。
HCH_012_223_000072	未幾，季馴以憂去，詔衡兼理其事。
HCH_012_223_000073	隆慶元年，加太子少保。
HCH_012_223_000074	山水驟溢，決新河，壞漕艘數百。
HCH_012_223_000075	給事中吳時來言：「新河受東、兗以南費、嶧、鄒、滕之水。以一堤捍群流，豈能不潰？宜分之以殺其勢。」
HCH_012_223_000076	衡乃開支河四，泄其水入赤山湖。
HCH_012_223_000077	明年秋，召還部。
HCH_012_223_000078	又明年，衡上疏曰：「先臣宋禮浚治舊渠，測量水平，計濟寧平地與徐州境山巔相準，北高南下，懸流三十丈。故魯橋閘以南稍啟立涸，舟行半月始達。東、兗之民增閘挑淺，苦力役者百六十年。屬者改鑿新渠，遠避黃流，舍卑就高，地形平衍，諸閘不煩起閉，舟行日可百餘里，夫役漫無事事。近河道都御史翁大立奏請裁革，宜可聽。」
HCH_012_223_000079	於是汰閘官五，夫役六千餘，以其僦直為修渠費。
HCH_012_223_000080	四年秋，河決睢寧，起季馴總理。
HCH_012_223_000081	明年冬，閱視河道給事中雒遵劾罷季馴，言廷臣可使，無出衡右者。
HCH_012_223_000082	六年正月，詔兼左副都御史，經理河道。
HCH_012_223_000083	穆宗崩，大學士高拱以山陵工請召衡。
HCH_012_223_000084	會邳州工亦竣，衡遂還朝。
HCH_012_223_000085	衡先後在部，禁止工作，裁抑浮費，所節省甚眾。
HCH_012_223_000086	穆宗時，內府監局加征工料，濫用不訾，衡隨時執奏。
HCH_012_223_000087	未幾，詔南京織造太監李佑趨辦袍緞千八百餘匹，衡因言官孫枝、姚繼可、嚴用和、駱問禮先後諫，再疏請，從之。
HCH_012_223_000088	帝切責太監崔敏，傳令南京加造緞十餘萬匹。
HCH_012_223_000089	衡議停新造，但責歲額，得減新造三之二。
HCH_012_223_000090	命造鰲山燈，計費三萬餘兩，又命建光泰殿、瑞祥閣於長信門，衡皆奏止之。
HCH_012_223_000091	及神宗即位，首命停織造，而內臣不即奉詔，且請增織染所顏料。
HCH_012_223_000092	衡奏爭，皆得請。
HCH_012_223_000093	皇太后傳諭發帑金修涿州碧霞元君廟。
HCH_012_223_000094	衡復爭，報聞。
HCH_012_223_000095	衡性強直，遇事不撓，不為張居正所喜。
HCH_012_223_000096	萬歷二年，給事中林景旸劾衡剛愎。
HCH_012_223_000097	衡再疏乞休。
HCH_012_223_000098	詔加太子太保，馳驛歸。
HCH_012_223_000099	其年夏，大雨壞昭陵恩殿，追論督工罪，奪宮保。
HCH_012_223_000100	卒年七十三。
HCH_012_223_000101	子維京，自有傳。
HCH_012_223_000102	翁大立，余姚人。
HCH_012_223_000103	嘉靖十七年進士。
HCH_012_223_000104	累官山東左布政使。
HCH_012_223_000105	三十八年，以右副都御史巡撫應天、蘇州諸府。
HCH_012_223_000106	蘇州以倭警募壯士，後兵罷無所歸，群聚剽奪。
HCH_012_223_000107	大立得其主名，捕甚急。
HCH_012_223_000108	惡少懼，夜劫縣衛獄，縱囚自隨，攻都御史行署，大立率妻子遁。
HCH_012_223_000109	知府王道行督兵力拒之，乃斬葑門，奔入太湖為盜。
HCH_012_223_000110	命大立戴罪捕賊，尋被劾罷。
HCH_012_223_000111	久之，起故官，巡撫山東。
HCH_012_223_000112	遭喪不赴。
HCH_012_223_000113	隆慶二年，命督河道。
HCH_012_223_000114	朱衡既開新河，漕渠便利。
HCH_012_223_000115	大立因頌新河之利有五，而請浚回回墓以達鴻溝，引昭陽之水沿鴻溝出留城，以溉湖下腴田千頃。
HCH_012_223_000116	未幾，又請鑿邵家嶺，令水由地浜溝出境山，入漕河。
HCH_012_223_000117	帝皆從之。
HCH_012_223_000118	三年七月，河大決沛縣，漕艘阻不進。
HCH_012_223_000119	帝從大立請，大行振貸。
HCH_012_223_000120	大立又請漕艘後至者貯粟徐州倉，平價出糶。
HCH_012_223_000121	詔許以三萬石賚民。
HCH_012_223_000122	大立以下民昏墊、閭閻愁困狀帝莫能周知，乃繪圖十二以獻。
HCH_012_223_000123	且言：「時事可憂，更不止此。東南財賦區，而江海泛溢，粒米不登，京儲可慮一也。邊關千里，悉遭洪水，墩堡傾頹，何恃以守？可慮二也。畿輔、山東、河南，霪雨既久，城郭不完，寇盜無備，可慮三也。江海間颶風鼓浪，舟艦戰卒，悉入波流，海防可慮四也。淮、浙鹽場鹹泥盡沒，竈戶流移，商賈不至，國課可慮五也。望陛下以五患十二圖付公卿博議，速求拯濟之策。」
HCH_012_223_000124	帝留圖備覽，下其奏於所司。
HCH_012_223_000125	當是時，黃河既決，淮水復漲。
HCH_012_223_000126	自清河縣至通濟閘抵淮安城西淤三十餘里，決方、信二壩出海，平地水深丈余，寶應湖堤往往崩壞。
HCH_012_223_000127	山東沂、莒、郯城水溢，從沂河、直河出邳州，人民多溺死。
HCH_012_223_000128	大立奔走經營，至四年六月，鴻溝、境山諸工，及淮流疏浚，次第告成。
HCH_012_223_000129	帝喜，錫賚有差。
HCH_012_223_000130	時大立已升工部右侍郎，旋改兵部，為左。
HCH_012_223_000131	會代者陳大賓未至，而山東沙、薛、汶、泗諸水驟漲，決仲家淺諸處，黃河又暴至，茶城復淤。
HCH_012_223_000132	已而淮自泰山廟至七里溝亦淤十餘里。
HCH_012_223_000133	其明年，遂為給事中宋良佐劾罷。
HCH_012_223_000134	萬歷二年，起南京刑部右侍郎，就改吏部。
HCH_012_223_000135	明年入為刑部右侍郎，再遷南京兵部尚書。
HCH_012_223_000136	六年，致仕歸。
HCH_012_223_000137	先是，隆慶末，有錦衣指揮周世臣者，外戚慶雲侯裔也。
HCH_012_223_000138	家貧無妻，獨與婢荷花兒居。
HCH_012_223_000139	盜入其室，殺世臣去。
HCH_012_223_000140	把總張國維入捕盜，惟荷花兒及仆王奎在，遂謂二人奸弒其主。
HCH_012_223_000141	獄成，刑部郎中潘誌伊疑之，久不決。
HCH_012_223_000142	及大立以侍郎署部事，憤荷花兒弒主，趣誌伊速決。
HCH_012_223_000143	誌伊終疑之，乃委郎中王三錫、徐一忠同讞。
HCH_012_223_000144	竟無所平反，置極刑。
HCH_012_223_000145	逾數年，獲真盜。
HCH_012_223_000146	都人競稱荷花兒冤，流聞禁中。
HCH_012_223_000147	帝大怒，欲重譴大立等。
HCH_012_223_000148	會給事中周良寅、蕭彥復劾之，乃追奪大立職，調一忠、三錫於外。
HCH_012_223_000149	誌伊時已知九江府，亦謫知陳州。
HCH_012_223_000150	誌伊，吳江人。
HCH_012_223_000151	進士，終廣西右參政。
HCH_012_223_000152	歷官有聲。
HCH_012_223_000153	潘季馴，字時良，烏程人。
HCH_012_223_000154	嘉靖二十九年進士。
HCH_012_223_000155	授九江推官。
HCH_012_223_000156	擢御史，巡撫廣東。
HCH_012_223_000157	行均平裏甲法，廣人大便。
HCH_012_223_000158	臨代去，疏請飭後至者守其法，帝從之。
HCH_012_223_000159	進大理丞。
HCH_012_223_000160	四十四年，由左少卿進右僉都御史，總理河道。
HCH_012_223_000161	與朱衡共開新河，加右副都御史。
HCH_012_223_000162	尋以憂去。
HCH_012_223_000163	隆慶四年，河決邳州、睢寧。
HCH_012_223_000164	起故官，再理河道，塞決口。
HCH_012_223_000165	明年，工竣，坐驅運船入新溜漂沒多，為勘河給事中雒遵劾罷。
HCH_012_223_000166	萬歷四年夏，再起官，巡撫江西。
HCH_012_223_000167	明年冬，召為刑部右侍郎。
HCH_012_223_000168	是時，河決崔鎮，黃水北流，清河口淤澱，全淮南徙，高堰湖堤大壞，淮、揚、高郵、寶應間皆為巨浸。
HCH_012_223_000169	大學士張居正深以為憂。
HCH_012_223_000170	河漕尚書吳桂芳議復老黃河故道，而總河都御史傅希摯欲塞決口，束水歸漕，兩人議不合。
HCH_012_223_000171	會桂芳卒，六年夏，命季馴以右都御史兼工部左侍郎代之。
HCH_012_223_000172	季馴以故道久湮，雖浚復，其深廣必不能如今河，議築崔鎮以塞決口，築遙堤以防潰決。
HCH_012_223_000173	又：「淮清河濁，淮弱河強，河水一斗，沙居其六，伏秋則居其八，非極湍急，必至停滯。當藉淮之清以刷河之濁，築高堰束淮入清口，以敵河之強，使二水並流，則海口自浚。即桂芳所開草灣，亦可不復修治。」
HCH_012_223_000174	遂條上六事，詔如議。
HCH_012_223_000175	明年冬，兩河工成。
HCH_012_223_000176	又明年春，加太子太保，進工部尚書兼左副都御史。
HCH_012_223_000177	季馴初至河上，歷虞城、夏邑、商丘，相度地勢。
HCH_012_223_000178	舊黃河上流，自新集經趙家圈、蕭縣，出徐州小浮橋，極深廣。
HCH_012_223_000179	自嘉靖中北徙，河身既淺，遷徙不常，曹、單、豐、沛常苦昏墊。
HCH_012_223_000180	上疏請復故河。
HCH_012_223_000181	給事中王道成以方築崔鎮高堰，役難並舉。
HCH_012_223_000182	河南撫按亦陳三難，乃止。
HCH_012_223_000183	遷南京兵部尚書。
HCH_012_223_000184	十一年正月，召改刑部。
HCH_012_223_000185	季馴之再起也，以張居正援。
HCH_012_223_000186	居正歿，家屬盡幽系，子敬修自縊死。
HCH_012_223_000187	季馴言：「居正母逾八旬，旦暮莫必其命，乞降特恩宥釋。」
HCH_012_223_000188	又以治居正獄太急，宣言居正家屬斃獄者已數十人。
HCH_012_223_000189	先是，御史李植、江東之輩與大臣申時行、楊巍相訐。
HCH_012_223_000190	季馴力右時行、巍，痛詆言者，言者交怒。
HCH_012_223_000191	植遂劾季馴黨庇居正，落職為民。
HCH_012_223_000192	十三年，御史李棟上疏訟曰：「隆慶間，河決崔鎮，為運道梗。數年以來，民居既奠，河水安流，咸曰：「此潘尚書功也。』昔先臣宋禮治會通河，至於今是賴，陛下允督臣萬恭之請，予之謚蔭。今季馴功不在禮下，乃當身存之日，使與編戶齒，寧不隳諸臣任事之心，失朝廷報功之典哉！」御史董子行亦言季馴罪輕責重。詔俱奪其俸。其後論薦者不已。十六年，給事中梅國樓復薦，遂起季馴右都御史，總督河道。自吳桂芳後，河漕皆總理，至是復設專官。明年，黃水暴漲，沖入夏鎮，壞田廬，居民多溺死。季馴復築塞之。十九年冬，加太子太保、工部尚書兼右都御史。季馴凡四奉治河命，前後二十七年，習知地形險易。增築設防，置官建閘，下及木石樁埽，綜理纖悉，積勞成病。三疏乞休，不允。二十年，泗州大水，城中水三尺，患及祖陵。議者或欲開傅寧湖至六合入江，或欲浚周家橋入高、寶諸湖，或欲開壽州瓦埠河以分淮水上流，或欲弛張福堤以泄淮口。季馴謂祖陵王氣不宜輕泄，而巡撫周寀、陳於陛、巡按高舉謂周家橋在祖陵後百里，可疏浚，議不合。都給事中楊其休請允季馴去。歸三年卒，年七十五。萬恭，字肅卿，南昌人。嘉靖二十三年進士。授南京文選主事，歷考功郎中。壽王喪過南京，中貴欲令朝王妃，
HCH_012_223_000193	恭厲聲曰：「禮不朝後，況妃乎！」
HCH_012_223_000194	遂止。
HCH_012_223_000195	就遷光祿少卿，入改大理。
HCH_012_223_000196	四十二年，寇逼通州，帝方急兵事。
HCH_012_223_000197	以兵部右侍郎蔡汝楠、協理戎政侍郎喻時不勝任，調之南京，欲代以鄭曉、楊順、葛縉，手詔問徐階。
HCH_012_223_000198	階以曉文士，順、縉匪人，請命吏部推擇。
HCH_012_223_000199	帝乃諭尚書嚴訥越格求之，遂以湖廣參政李燧代時，而命恭代汝楠。
HCH_012_223_000200	恭列上選兵、議將、練兵車、火器諸事，皆報可。
HCH_012_223_000201	明年，燧罷，眾將推恭，恭引疾。
HCH_012_223_000202	及用趙炳然，恭起視事。
HCH_012_223_000203	於是給事中胡應嘉劾恭奸欺。
HCH_012_223_000204	恭奏辯，部議調恭。
HCH_012_223_000205	詔勿問。
HCH_012_223_000206	恭不自安，力請劇邊自效。
HCH_012_223_000207	乃命兼僉都御史，巡撫山西。
HCH_012_223_000208	甫至，寇犯龍須墩，恭伏兵擊卻之。
HCH_012_223_000209	未幾，寇五萬騎至朔州川，恭與戰老高墓。
HCH_012_223_000210	列車為陣，發火器，寇少卻。
HCH_012_223_000211	忽風起，火反焚車，寇復大至。
HCH_012_223_000212	諸將殊死戰，寇乃去。
HCH_012_223_000213	事聞，賚銀幣。
HCH_012_223_000214	巡撫故無旗牌，恭請得之。
HCH_012_223_000215	濱河州縣患套寇東掠，歲鑿冰以防，恭為築墻四十里。
HCH_012_223_000216	教人以耕及用水車法，民大利之。
HCH_012_223_000217	浹歲，以內艱歸。
HCH_012_223_000218	隆慶初，給事中岑用賓等拾遺及恭。
HCH_012_223_000219	吏部尚書楊博議，仍用之邊方。
HCH_012_223_000220	暨服闋，恭遂不出。
HCH_012_223_000221	六年春，給事中劉伯燮薦恭異才。
HCH_012_223_000222	會河決邳州，運道大阻，已遣尚書朱衡經理，復命恭以故官總理河道。
HCH_012_223_000223	恭與衡築長堤，北自磨臍溝迄邳州直河，南自離林迄宿遷小河口，各延三百七十里。
HCH_012_223_000224	費帑金三萬，六十日而成。
HCH_012_223_000225	高、寶諸河，夏秋泛濫，歲議增堤，而水益漲。
HCH_012_223_000226	恭緣堤建平水閘二十餘，以時泄蓄，專令浚湖，不復增堤，河遂無患。
HCH_012_223_000227	恭強毅敏達，一時稱才臣。
HCH_012_223_000228	治水三年，言者劾其不職，竟罷歸。
HCH_012_223_000229	家居垂二十年卒。
HCH_012_223_000230	孫燝，自有傳。
HCH_012_223_000231	吳桂芳，字子實，新建人。
HCH_012_223_000232	嘉靖二十三年進士。
HCH_012_223_000233	授刑部主事。
HCH_012_223_000234	有崔鑒者，年十三，忿父妾淩母，手刃之。
HCH_012_223_000235	桂芳為著論擬赦。
HCH_012_223_000236	尚書聞淵曰：「此董仲舒《春秋》斷獄，柳子厚《復讎議》也。鑒遂得宥。及淵入吏部，欲任以言職。會聞繼母病，遽請歸，留之不可。起補禮部，歷遷揚州知府。禦倭有功，遷俸一級。又建議增築外城。揚有二城，自桂芳始。歷浙江左布政使，進右僉都御史，巡撫福建。父喪歸。起故官，撫治鄖陽。尋進右副都御史總理河道，未任。兩廣總督張臬以非軍旅才被劾罷，部議罷總督，改桂芳兵部右侍郎兼右僉都御史，提督兩廣軍務兼理巡撫。兩廣群盜河源李亞元、程鄉葉丹樓連歲為患，潮州舊倭屯據鄒塘。桂芳先討倭。以降賊伍端為前驅，官軍繼進，一日夜克三巢，焚斬四百餘人。帝深嘉之，令與南贛提督吳百朋乘勝滅賊。而新倭寇福建省為戚繼光所敗，流入境。桂芳、百朋會調土、漢兵，乘其初至，急擊之。倭懼，悉奔甲子崎沙，奪漁舟入海。暴風起，皆覆溺死。脫者還海豐，副總兵湯克寬擒斬殆盡。因建議海道副使轄東莞以西至瓊州，領番夷市舶，更設海防僉事，巡東莞以東至惠潮，專禦倭寇。又進討亞元、丹樓，平之。降賊王西橋、吳平已撫復叛。西橋掠東莞，敗都指揮劉世恩兵，執肇慶同知郭文通以求撫。桂芳擒斬之，進討平。平初據南澳，為戚繼光、俞大猷所敗，奔饒平鳳凰山，掠民舟出海，自陽江奔安南。
HCH_012_223_000237	桂芳檄安南萬寧宣撫司進剿，遣克寬以舟師會之，夾擊平萬橋山下。
HCH_012_223_000238	乘風縱火，平軍死無算，擒斬三百九十餘人。
HCH_012_223_000239	參將傅應嘉言平已擒，後復雲溺死。
HCH_012_223_000240	福建巡撫汪道昆奏聞，桂芳不肯，曰：「風火交熾時，何以知其必死也？」
HCH_012_223_000241	平黨林道乾復窺南澳，時議設參將戍守。
HCH_012_223_000242	桂芳言：「澳中地險而腴。元時曾設兵戍守，戍兵即據以叛，此禦盜生盜也，不如戍柘林便。」
HCH_012_223_000243	從之。
HCH_012_223_000244	召為南京兵部右侍郎，尋改北部。
HCH_012_223_000245	隆慶初，轉左，以疾乞歸。
HCH_012_223_000246	言官數論薦。
HCH_012_223_000247	萬歷三年冬，即家起故官，總督漕運兼巡撫鳳陽。
HCH_012_223_000248	明年春，桂芳以淮、揚洪潦奔流，惟云梯關一徑入海，致海湧橫沙，河流泛溢，而興、鹽、高、寶諸州縣所在受災，請益開草灣及老黃河故道以廣入海之路，修築高郵東西二堤以蓄湖水。
HCH_012_223_000249	皆下所司議行。
HCH_012_223_000250	未幾，草灣河工告成。
HCH_012_223_000251	是年秋，河決曹縣、徐州、桃源，給事中劉鉉疏議漕河，語侵桂芳。
HCH_012_223_000252	桂芳疏辯曰：「草灣之開，以高、寶水患沖嚙，疏以拯之，非能使上遊亦不復漲也。今山陽以南諸州縣，水落布種，鬥米四分，則臣斯舉亦既得策矣。若徐、邳以上，非臣所屬，臣何與焉。」
HCH_012_223_000253	因請罷。
HCH_012_223_000254	御史邵陛言：「諸臣以河漲歸咎草灣，阻任事氣，乞策勵桂芳，益底厥績，而詰責河臣傅希摯曠職。」
HCH_012_223_000255	從之。
HCH_012_223_000256	其明年，希摯議塞崔鎮決口，束水歸漕，而桂芳欲沖刷成河以為老黃河入海之道。
HCH_012_223_000257	廷議以二人意見不合，改希摯撫陜西，以李世達代。
HCH_012_223_000258	未幾，又改世達他任，命桂芳兼理河漕。
HCH_012_223_000259	六年正月，詔進工部尚書兼右副都御史，居職如故。
HCH_012_223_000260	未逾月，卒。
HCH_012_223_000261	尋以高郵湖堤成，贈太子少保。
HCH_012_223_000262	傅希摯，衡水人。
HCH_012_223_000263	累官右僉都御史，巡撫山東。
HCH_012_223_000264	隆慶末，戶部以餉乏議裁山東、河南民兵，希摯爭之而止。
HCH_012_223_000265	改總理河道。
HCH_012_223_000266	以茶城淤塞，開梁山以下寧洋山，出右洪口。
HCH_012_223_000267	萬歷五年，進右副都御史，巡撫陜西。
HCH_012_223_000268	已遷戶部右侍郎，坐隴右礦賊未靖，論罷。
HCH_012_223_000269	起總督漕運，歷南京戶、兵二部尚書。
HCH_012_223_000270	召理戎政，以老被劾。
HCH_012_223_000271	加太子少保致仕。
HCH_012_223_000272	王宗沐，字新甫，臨海人。
HCH_012_223_000273	嘉靖二十三年進士。
HCH_012_223_000274	授刑部主事。
HCH_012_223_000275	與同官李攀龍、王世貞輩，以詩文相友善。
HCH_012_223_000276	宗沐尤習吏治。
HCH_012_223_000277	歷江西提學副使。
HCH_012_223_000278	修白鹿洞書院，引諸生講習其中。
HCH_012_223_000279	三遷山西右布政使。
HCH_012_223_000280	所部歲祲，宗沐因入覲上疏曰：「山西列郡俱荒，太原尤甚。三年於茲，百餘里不聞雞聲。父子夫婦互易一飽，命曰『人市』。宗祿八十五萬，累歲缺支，饑疫死者幾二百人。夫山西京師右掖，自故關出真定，自忻、代出紫荊，皆不過三日。宣、大之糧雖派各郡，而運本色者皆在太原。饑民一聚，蹂踐劫奪，歲供宣、大兩鎮六十七萬餉，誰為之辦？此可深念者一也。四方奏水旱者以十分上，部議常裁而為三，所免不過存留者而已。今山西所謂存留者，二鎮三關之輸也。存留乃反急於起運，是山西終不蒙分毫之寬。此可深念者二也。開疆萬山之中，巖阻巉絕，太原民不得至澤、潞，安望就食他所？獨真定米稍可通。然背負車運，率二鬥而致一斗，甫至壽陽，則價已三倍矣。是可深念者三也。饑民相聚為盜，招之不可，勢必撲殺。小則支庫金，大則請內帑。與其發帑以賞殺盜之人，孰若發帑使不為盜？此可深念者四也。近丘富往來誘惑，邊民妄傳募人耕田不取租稅。愚民何知，急不暇擇，長邊八百餘里，誰要之者？彼誘而眾，我逃而虛。此可深念者五也。」
HCH_012_223_000281	因請緩征逋賦，留河東新增鹽課以給宗祿。
HCH_012_223_000282	尋改廣西左布政使，再補山東。
HCH_012_223_000283	隆慶五年，給事中李貴和請開膠萊河。
HCH_012_223_000284	宗沐以其功難成，不足濟運，遺書中朝止之。
HCH_012_223_000285	拜右副都御史，總督漕運兼巡撫鳳陽，極陳運軍之苦，請亟優恤。
HCH_012_223_000286	又以河決無常，運者終梗，欲復海運，上疏曰：「自會通河開浚以來，海運不講已久。臣近官山東，嘗條斯議。巡撫都御史梁夢龍毅然試之，底績無壅，而慮者輒苦風波。夫東南之海，天下眾水之委也，茫渺無山，趨避靡所，近南水暖，蛟龍窟宅。故元人海運多驚，以其起自太倉、嘉定而北也。若自淮安而東，引登、萊以泊天津，是謂北海，中多島嶼，可以避風。又其地高而多石，蛟龍有往來而無窟宅。故登州有海市，以石氣與水氣相搏，映石而成，石氣能達於水面，以石去水近故也。北海之淺，是其明驗。可以佐運河之窮，計無便於此者。」
HCH_012_223_000287	因條上便宜七事。
HCH_012_223_000288	明年三月遂運米十二萬石自淮入海，五月抵天津。
HCH_012_223_000289	敘功，與夢龍俱進秩，賜金幣。
HCH_012_223_000290	而南京給事中張煥言：「比聞八舟漂沒，失米三千二百石。宗沐預計有此，私令人糴補。夫米可補，人命可補乎？宗沐掩飾視聽，非大臣誼。」
HCH_012_223_000291	宗沐疏辯求勘。
HCH_012_223_000292	詔行前議，習海道以備緩急。
HCH_012_223_000293	未幾，海運至即墨，颶風大作，覆七舟，都給事中賈三近、御史鮑希顏及山東巡撫傅希摯俱言不便，遂寢。
HCH_012_223_000294	時萬歷元年也。
HCH_012_223_000295	宗沐以徐、邳俗獷悍，多奸猾，濱海鹽徒出沒，六安、霍山礦賊竊發，奏設守將。
HCH_012_223_000296	又召豪俠巨室三百餘人充義勇，責令捕盜，後多以功給冠帶。
HCH_012_223_000297	遷南京刑部右侍郎，召改工部。
HCH_012_223_000298	尋進刑部左侍郎，奉敕閱視宣、大、山西諸鎮邊務。
HCH_012_223_000299	母喪歸。
HCH_012_223_000300	九年，以京察拾遺罷，不敘。
HCH_012_223_000301	居家十餘年卒。
HCH_012_223_000302	贈刑部尚書。
HCH_012_223_000303	天啟初，追謚襄裕。
HCH_012_223_000304	子士崧、士琦、士昌，從子士性，皆進士。
HCH_012_223_000305	士崧官刑部主事。
HCH_012_223_000306	士琦歷重慶知府。
HCH_012_223_000307	播州宣慰使楊應龍叛，承總督邢玠檄至松坎撫定之。
HCH_012_223_000308	遂進兵備副使，治其地。
HCH_012_223_000309	尋以山東參政監軍朝鮮有功，超擢河南右布政使。
HCH_012_223_000310	坐應龍復叛，降湖廣右參政。
HCH_012_223_000311	歷山東右布政使，佐余宗浚封順義王，進秩賜金。
HCH_012_223_000312	擢右副都御史巡撫大同，被劾擬調。
HCH_012_223_000313	未幾卒。
HCH_012_223_000314	士昌由龍谿知縣擢兵科給事中。
HCH_012_223_000315	寇犯固原、甘肅，方議諸將罪，而延綏兩以捷聞。
HCH_012_223_000316	兵部請告廟宣捷，士昌奏止之。
