HCH_012_162_000000	尹昌隆耿通戴綸陳祚劉球陳鑒鐘同章綸廖莊倪敬楊瑄尹昌隆，字彥謙，泰和人。
HCH_012_162_000037	嘗劾都御史陳瑛、御史袁綱、覃珩朋比為蒙蔽，構陷無辜，綱、珩已下獄，瑛長官，不宜獨宥。
HCH_012_162_000038	又言：驍騎諸衛倉壞，工部侍郎陳壽不預修，糧至無所受，多損耗病民；工部尚書宋禮不恤下，匠役滿，不即遣歸，多至失所。
HCH_012_162_000039	瑛等皆被鐫責。
HCH_012_162_000040	當是時，給事中敢言者，通與陳諤。
HCH_012_162_000041	舉朝憚其風采。
HCH_012_162_000042	久之，擢大理寺右丞。
HCH_012_162_000043	帝北巡，太子監國。
HCH_012_162_000044	漢王高煦謀奪嫡，陰結帝左右為讒間，宮僚多得罪者。
HCH_012_162_000045	監國所行事，率多更置。
HCH_012_162_000046	通從容諫帝：「太子事無大過誤，可無更也。」
HCH_012_162_000047	數言之，帝不悅。
HCH_012_162_000048	十年秋，有言通受請托故出人罪者。
HCH_012_162_000049	帝震怒，命都察院會文武大臣鞫之午門，曰：「必殺通無赦。」
HCH_012_162_000050	群臣如旨，當通罪斬。
HCH_012_162_000051	帝曰：「失出，細故耳，通為東宮關說，壞祖法，離間我父子，不可恕，其置之極刑。」
HCH_012_162_000052	廷臣不敢爭，竟論奸黨，磔死。
HCH_012_162_000053	陳諤，字克忠，番愚人。
HCH_012_162_000054	永樂中，以鄉舉入太學，授刑科給事中。
HCH_012_162_000055	遇事剛果，彈劾無所避。
HCH_012_162_000056	每奏事，大聲如鐘。
HCH_012_162_000057	帝令餓之數日，奏對如故。
HCH_012_162_000058	曰：「是天性也。」
HCH_012_162_000059	每見，呼為「大聲秀才」。
HCH_012_162_000060	嘗言事忤旨，命坎瘞奉天門，露其首。
HCH_012_162_000061	七日不死，赦出還職。
HCH_012_162_000062	已，復忤旨，罰修象房。
HCH_012_162_000063	貧不能雇役，躬自操作。
HCH_012_162_000064	適駕至，問為誰。
HCH_012_162_000065	諤匍匐前，具道所以。
HCH_012_162_000066	帝憐之，命復官。
HCH_012_162_000067	歷任順天府尹，政尚嚴鷙。
HCH_012_162_000068	執政忌之，出為湖廣按察使。
HCH_012_162_000069	改山西，坐事落職。
HCH_012_162_000070	仁宗即位，遇赦當還故官。
HCH_012_162_000071	帝以諤前在湖廣頗摭楚王細故，謫海鹽知縣。
HCH_012_162_000072	遷荊王長史，為王府所厭苦。
HCH_012_162_000073	宣德三年遷鎮江同知。
HCH_012_162_000074	致仕歸，卒。
HCH_012_162_000075	戴綸，高密人。
HCH_012_162_000076	永樂中，自昌邑訓導擢禮科給事中，與編修林長懋俱侍皇太孫說書。
HCH_012_162_000077	歷中允、諭德。
HCH_012_162_000078	仁宗即位，太孫為太子，遷洗馬，仍侍講讀。
HCH_012_162_000079	始成祖命太孫習武事，太孫亦雅好之，時出騎射。
HCH_012_162_000080	綸與長懋以太孫春秋方富，不宜荒學問而事遊畋，時時進諫。
HCH_012_162_000081	綸又具疏為帝言之。
HCH_012_162_000082	他日，太孫侍，帝問：「宮臣相得者誰也？」
HCH_012_162_000083	太孫以綸對。
HCH_012_162_000084	因出綸奏付之，太孫由此怨綸。
HCH_012_162_000085	長懋者，莆田人。
HCH_012_162_000086	以鄉薦歷青州教授，擢編修。
HCH_012_162_000087	仁宗初，進中允。
HCH_012_162_000088	為人剛嚴，累進直言，與綸善。
HCH_012_162_000089	宣宗即位，加恩宮僚，擢綸兵部侍郎。
HCH_012_162_000090	頃之，復以諫獵忤旨，命參贊交阯軍務。
HCH_012_162_000091	而長懋自南京來，後至，亦出為郁林知州。
HCH_012_162_000092	無何，坐怨望，並逮至京，下錦衣衛獄。
HCH_012_162_000093	帝臨鞫之，綸抗辯，觸帝怒，立箠死，籍其家。
HCH_012_162_000094	諸父河南知府賢、太僕寺卿希文皆被系。
HCH_012_162_000095	而長懋在獄十年，英宗立，乃得釋。
HCH_012_162_000096	復其官，還守郁林，有惠政。
HCH_012_162_000097	其卒也，州人立廟祀之。
HCH_012_162_000098	陳祚，字永錫，吳人。
HCH_012_162_000099	永樂中進士。
HCH_012_162_000100	擢河南參議。
HCH_012_162_000101	十五年與布政使周文褒、王文振合疏，言建都北京非便，並謫均州太和山佃戶。
HCH_012_162_000102	躬耕力作，處之晏然。
HCH_012_162_000103	仁宗立，詔選用遷謫諸臣，祚在選中。
HCH_012_162_000104	會帝崩，不果用。
HCH_012_162_000105	宣德二年命憲臣即均州群試之，祚策第一。
HCH_012_162_000106	試吏部，復第一。
HCH_012_162_000107	遂擢御史，巡按福建。
HCH_012_162_000108	方面大吏多被彈擊，禁止和買，閩人德之。
HCH_012_162_000109	還奏白塔河上通邵伯湖，下註大江，蘇、松舟楫，多從往來，淺狹湮塞，請開浚。
HCH_012_162_000110	從之，轉漕果便。
HCH_012_162_000111	尋出按江西。
HCH_012_162_000112	時天下承平，帝頗事遊獵玩好。
HCH_012_162_000113	祚馳疏勸勤聖學。
HCH_012_162_000114	其略曰：「帝王之學先明理，明理在讀書。陛下雖有聖德，而經筵未甚興舉，講學未有程度，聖賢精微，古今治亂，豈能周知洞晰？真德秀《大學衍義》一書，聖賢格言，無不畢載。願於聽政之暇，命儒臣講說，非有大故，無得間斷。使知古今若何而治，政事若何而得。必能開廣聰明，增光德業。而邪佞之以奇巧蕩聖心者自見疏遠，天下人民受福無窮矣。」
HCH_012_162_000115	帝見疏大怒曰：「豎儒謂朕未讀《大學》耶！薄朕至此，不可不誅。」
HCH_012_162_000116	學士陳循頓首曰：「俗士處遠，不知上無書不讀也。」
HCH_012_162_000117	帝意稍解。
HCH_012_162_000118	下祚獄，逮其家人十餘口，隔別禁系者五年，其父竟瘐死。
HCH_012_162_000119	其時，刑部主事郭循諫拓西內皇城修離宮，逮入面詰之。
HCH_012_162_000120	循抗辯不屈，亦下獄。
HCH_012_162_000121	英宗立，祚與循皆得釋復官。
HCH_012_162_000122	祚再按湖廣。
HCH_012_162_000123	以奏遼王貴烚罪有所隱，與巡撫侍郎吳政逮至京，下獄。
HCH_012_162_000124	尋赦出。
HCH_012_162_000125	時王振用事，法務嚴峻，祚上言：「乃者法司論獄，多違定律。如侍郎吳璽誤舉主事吳軏，宜坐貢舉非其人律，乃坐以奏事有規避律斬。及軏自經死，獄官獄卒罪應遞減，乃援不應為重罪，概杖之。一事如此，余可推矣。天時不順，災沴數見，未必非此。」
HCH_012_162_000126	帝是之，以其章示法司。
HCH_012_162_000127	尋改南京，遷福建按察使僉事。
HCH_012_162_000128	有威惠，神祠不載祀典者悉撤去。
HCH_012_162_000129	久之，以疾歸，卒。
HCH_012_162_000130	祚天資嚴毅，雖子弟罕接其言笑，獨重里人邢量。
HCH_012_162_000131	量博學士，隱於卜，敝屋數椽，或竟日不舉火。
HCH_012_162_000132	祚數挾冊就質疑，往往至暮。
HCH_012_162_000133	郭循，字循初，廬陵人。
HCH_012_162_000134	居官有才譽。
HCH_012_162_000135	既復職，進郎中，以尚書魏源薦，擢廣東參政，有剿寇功。
HCH_012_162_000136	景泰初卒。
HCH_012_162_000137	劉球，字廷振，安福人。
HCH_012_162_000138	永樂十九年進士。
HCH_012_162_000139	家居讀書十年，從學者甚眾。
HCH_012_162_000140	授禮部主事。
HCH_012_162_000141	胡濙薦侍經筵，與修《宣宗實錄》，改翰林侍講。
HCH_012_162_000142	從弟比知莆田，遺一夏布。
HCH_012_162_000143	球封還，貽書戒之。
HCH_012_162_000144	正統六年，帝以王振言，大舉征麓川。
HCH_012_162_000145	球上疏曰：帝王之馭四裔，必宥其小而防其大。
HCH_012_162_000146	所以適緩急之宜，為天下久安計也。
HCH_012_162_000147	周伐崇不克，退修德教以待其降。
HCH_012_162_000148	至於玁狁，則命南仲城朔方以備之。
HCH_012_162_000149	漢征南越不利，即罷兵賜書通好。
HCH_012_162_000150	至於匈奴，雖已和親，猶募民徙居塞下，入粟實邊，復命魏尚守雲中拒之。
HCH_012_162_000151	今麓川殘寇思任發素本羈屬，以邊將失馭，致勤大兵。
HCH_012_162_000152	雖渠魁未殲，亦多戮群醜，為誅為舍，無系輕重。
HCH_012_162_000153	璽書原其罪釁，使得自新，甚盛德也。
HCH_012_162_000154	邊將不達聖意，復議大舉。
HCH_012_162_000155	欲屯十二萬眾於雲南，以趣其降，不降則攻之。
HCH_012_162_000156	不慮王師不可輕出，蠻性不可驟馴，地險不可用眾，客兵不可久淹。
HCH_012_162_000157	況南方水旱相仍，軍民交困，若復動眾，紛擾為憂。
HCH_012_162_000158	臣竊謂宜緩天誅，如周、漢之於崇、越也。
HCH_012_162_000159	至於瓦剌，終為邊患。
HCH_012_162_000160	及其未即騷動，正宜以時防禦。
HCH_012_162_000161	乃欲移甘肅守將以事南征，卒然有警，何以為禦？
HCH_012_162_000162	臣竊以為宜慎防遏，如周、漢之於玁狁、匈奴也。
HCH_012_162_000163	伏望陛下罷大舉之議。
HCH_012_162_000164	推選智謀將帥，輔以才識大臣，量調官軍，分屯金齒諸要害。
HCH_012_162_000165	結木邦諸蠻以為援，乘間進攻，因便撫諭，寇自可服。
HCH_012_162_000166	至於西北障塞，當敕邊臣巡視。
HCH_012_162_000167	浚築溝垣，增繕城堡，勤訓練，嚴守望，以防不虞，有備無患之道也。
HCH_012_162_000168	章下兵部。
HCH_012_162_000169	謂南征已有成命，不用球言。
HCH_012_162_000170	八年五月雷震奉天殿。
HCH_012_162_000171	球應詔上言所宜先者十事。
HCH_012_162_000172	其略曰：古聖王不作無益，故心正而天不違之。
HCH_012_162_000173	臣願皇上勤禦經筵，數進儒臣，講求至道。
HCH_012_162_000174	務使學問功至，理欲判然，則聖心正而天心自順。
HCH_012_162_000175	夫政由已出，則權不下移。
HCH_012_162_000176	太祖、太宗日視三朝，時召大臣於便殿裁決庶政，權歸總於上。
HCH_012_162_000177	皇上臨御九年，事體日熟。
HCH_012_162_000178	願守二聖成規，復親決故事，使權歸於一。
HCH_012_162_000179	古之擇大臣者，必詢諸左右、大夫、國人。
HCH_012_162_000180	及其有犯，雖至大辟亦不加刑，第賜之死。
HCH_012_162_000181	今用大臣未嘗皆出公論。
HCH_012_162_000182	及有小失，輒桎梏箠楚之；然未幾時，又復其職。
HCH_012_162_000183	甚非所以待大臣也。
HCH_012_162_000184	自今擇任大臣，宜允愜眾論。
HCH_012_162_000185	小犯則置之。
HCH_012_162_000186	果不可容，下法司定罪，使自為計。
HCH_012_162_000187	勿輒系，庶不乖共天職之意。
HCH_012_162_000188	今之太常，即古之秩宗，必得清慎習禮之臣，然後可交神明。
HCH_012_162_000189	今卿貳皆缺，宜選擇儒臣，使領其職。
HCH_012_162_000190	古者省方巡狩，所以察吏得失，問民疾苦。
HCH_012_162_000191	兩漢、唐、宋盛時，數遣使巡行郡縣，洪、永間亦嘗行之。
HCH_012_162_000192	今久不舉，故吏多貪虐，民不聊生，而軍衛尤甚。
HCH_012_162_000193	宜擇公明廉幹之臣，分行天下。
HCH_012_162_000194	古人君不親刑獄，必付理官，蓋恐徇喜怒而有所輕重也。
HCH_012_162_000195	邇法司所上獄，多奉敕增減輕重，法司不能執奏。
HCH_012_162_000196	及訊他囚，又觀望以為輕重，民用多冤。
HCH_012_162_000197	宜使各舉其職。
HCH_012_162_000198	至運磚輸米諸例，均非古法，尤宜罷之。
HCH_012_162_000199	《春秋》營築悉書，戒勞民也。
HCH_012_162_000200	京師興作五六年矣，曰「不煩民而役軍」，軍獨非國家赤子乎？
HCH_012_162_000201	況營作多完，宜罷工以蘇其力。
HCH_012_162_000202	各處水旱，有司既不振救，請減租稅，或亦徒事虛文。
HCH_012_162_000203	宜令戶部以時振濟，量加減免，使不致失業。
HCH_012_162_000204	麓川連年用兵，死者十七八，軍貲爵賞不可勝計。
HCH_012_162_000205	今又遣蔣貴遠征緬甸，責獻思任發。
HCH_012_162_000206	果擒以歸，不過梟諸通衢而已。
HCH_012_162_000207	緬將挾以為功，必求與木邦共分其地。
HCH_012_162_000208	不與則致怒，與之則兩蠻坐大，是減一麓川生二麓川也。
HCH_012_162_000209	設有蹉跎，兵事無已。
HCH_012_162_000210	臣見皇上每錄重囚，多宥令從軍，仁心若此。
HCH_012_162_000211	今欲生得一失地之竄寇，而驅數萬無罪之眾以就死地，豈不有乖於好生之仁哉？
HCH_012_162_000212	況思機發已嘗遣人來貢，非無悔過乞免之意。
HCH_012_162_000213	若敕緬斬任發首來獻，仍敕思機發盡削四境之地，分於各寨新附之蠻，則一方可寧矣。
HCH_012_162_000214	迤北貢使日增，包藏禍心，誠為難測。
HCH_012_162_000215	宜分遣給事、御史閱視京邊官軍，及時訓練，勿使借工各廠，服役私家。
HCH_012_162_000216	公武舉之選以求良將，定召募之法以來武勇。
HCH_012_162_000217	廣屯田，公鹽法，以厚儲蓄。
HCH_012_162_000218	庶武備無缺，而外患有防。
HCH_012_162_000219	疏入，下廷議。
HCH_012_162_000220	言球所奏，惟擇太常官宜從，令吏部推舉。
HCH_012_162_000221	修撰董璘遂乞改官太常，奉享祀事。
HCH_012_162_000222	初，球言麓川事，振固已銜之。
HCH_012_162_000223	欽天監正彭德清者，球鄉人也，素為振腹心。
HCH_012_162_000224	凡天文有變，皆匿不奏，倚振勢為奸，公卿多趨謁。
HCH_012_162_000225	球絕不與通。
HCH_012_162_000226	德清恨之，遂摘疏中攬權語，謂振曰：「此指公耳。」
HCH_012_162_000227	振益大怒。
HCH_012_162_000228	會璘疏上，振遂指球同謀，並逮下詔獄，屬指揮馬順殺球。
HCH_012_162_000229	順深夜攜一小校持刀至球所。
HCH_012_162_000230	球方臥，起立，大呼太祖、太宗。
HCH_012_162_000231	頸斷，體猶植。
HCH_012_162_000232	遂支解之，瘞獄戶下。
HCH_012_162_000233	璘從旁竊血裙遺球家。
HCH_012_162_000234	後其子鉞求得一臂，裹裙以殮。
HCH_012_162_000235	順有子病久，忽起捽順發，拳且蹴之曰：「老賊，令爾他日禍逾我！我，劉球也。」
HCH_012_162_000236	順驚悸。
HCH_012_162_000237	俄而子死，小校亦死。
HCH_012_162_000238	璘，字德文，高郵人。
HCH_012_162_000239	有孝行。
HCH_012_162_000240	獄解，遂歸，不復出。
HCH_012_162_000241	球死數年，瓦剌果入寇。
HCH_012_162_000242	英宗北狩，振被殺。
HCH_012_162_000243	朝士立擊順，斃之。
HCH_012_162_000244	而德清自土木遁還，下獄論斬，尋瘐死。
HCH_012_162_000245	詔戮其屍。
HCH_012_162_000246	景帝憐球忠，贈翰林學士，謚忠湣，立祠於鄉。
HCH_012_162_000247	球二子，長鉞、次釪。
HCH_012_162_000248	皆篤學，躬耕養母。
HCH_012_162_000249	球既得恤，兄弟乃出應舉，先後成進士。
HCH_012_162_000250	鉞，廣東參政；釪，雲南按察使。
HCH_012_162_000251	陳鑒，字貞明，高安人。
HCH_012_162_000252	宣德二年進士。
HCH_012_162_000253	授行人。
HCH_012_162_000254	正統中，擢御史。
HCH_012_162_000255	出按順天。
HCH_012_162_000256	言京師風俗澆漓，其故有五：一，事佛過甚；二，營喪破家；三，服食靡麗；四，優倡為蠹；五，博塞成風。
HCH_012_162_000257	章下禮部，格不行。
HCH_012_162_000258	改按貴州。
HCH_012_162_000259	時麓川酋思任發子思機發遁孟養，屢上書求宥罪通貢。
HCH_012_162_000260	不許。
HCH_012_162_000261	復大舉遠征，兵連不解。
HCH_012_162_000262	雲、貴軍民疲敝。
HCH_012_162_000263	苗乘機煽動，閩、浙間盜賊大起。
HCH_012_162_000264	舉朝皆知其不可，懲劉球禍，無敢諫者。
HCH_012_162_000265	十四年正月，鑒抗疏言賊酋遠遁，不為邊患，宜專責雲南守臣相機剿滅，無遠勞禁旅。
HCH_012_162_000266	王振怒，欲困之，改鑒雲南參議，使赴騰沖招賊。
HCH_012_162_000267	已，復摭鑒為巡按時嘗請改四川播州宣慰司隸貴州，為鑒罪，令兵部劾之，論死繫獄。
HCH_012_162_000268	景帝嗣位，乃得赦。
HCH_012_162_000269	尋授河南參議。
HCH_012_162_000270	致仕歸，卒。
HCH_012_162_000271	自正統中，劉球以忤王振冤死，鑒繼下獄，中外莫敢言事者數年。
HCH_012_162_000272	至景帝時，言路始開，爭發憤上書。
HCH_012_162_000273	有何觀者，復以言得罪去。
HCH_012_162_000274	觀以善書為中書舍人。
HCH_012_162_000275	景泰二年劾尚書王直輩正統時阿附權奸，不宜在左右。
HCH_012_162_000276	中貴見「權奸」語，以為侵已，激帝怒，下科道參議。
HCH_012_162_000277	吏科毛玉主奏稿，力詆觀，林聰、葉盛持之，乃刪削奏上。
HCH_012_162_000278	會御史疏亦上，中有「觀考滿不遷，私憾吏部」語。
HCH_012_162_000279	帝怒，下觀詔獄，杖之，謫九溪衛經歷。
HCH_012_162_000280	鐘同，字世京，吉安永豐人。
HCH_012_162_000281	父復，宣德中進士及第。
HCH_012_162_000282	歷官修撰，與劉球善。
HCH_012_162_000283	球上封事，約與俱，復妻勸止之。
HCH_012_162_000284	球詣復邸，邀偕行。
HCH_012_162_000285	復已他往，妻從屏間詈曰：「汝自上疏，何累他人為！」
HCH_012_162_000286	球出嘆曰：「彼乃謀及婦人。」
HCH_012_162_000287	遂獨上奏，竟死。
HCH_012_162_000288	居無何，復亦病死。
HCH_012_162_000289	妻深悔之，每哭輒曰：「早知爾，曷若與劉君偕死。」
HCH_012_162_000290	同幼聞母言，即感奮，思成父誌。
HCH_012_162_000291	嘗入吉安忠節祠，見所祀歐陽修、楊邦乂諸人，嘆曰：「死不入此，非夫也。」
HCH_012_162_000292	景泰二年舉進士，明年授御史。
HCH_012_162_000293	懷獻太子既薨，中外望復沂王於東宮。
HCH_012_162_000294	同與郎中章綸早朝，語及沂王，皆泣下，因與約疏請復儲。
HCH_012_162_000295	五年五月，同因上疏論時政，遂及復儲事，其略曰：近得賊諜，言也先使偵京師及臨清虛實，期初秋大舉深入，直下河南。
HCH_012_162_000296	臣聞之不勝寒心，而廟堂大臣皆恬不介意。
HCH_012_162_000297	昔秦伐趙，諸侯自若，孔子順獨憂之，人皆以為狂。
HCH_012_162_000298	臣今者之言，何以異此。
HCH_012_162_000299	臣草茅時，聞寺人構惡，戕戮直臣劉球，遂致廷臣箝口。
HCH_012_162_000300	假使當時犯顏有人，必能諫止上皇之行，何至有蒙塵之禍。
HCH_012_162_000301	陛下赫然中興，鋤奸黨，旌忠直。
HCH_012_162_000302	命六師禦敵於郊，不戰而三軍之氣自倍。
HCH_012_162_000303	臣謂陛下方且鞭撻四裔，坐致太平，奈何邊氛甫息，瘡痍未復，而侈心遽生，失天下望。
HCH_012_162_000304	伏願取鑒前車，厚自奮厲。
HCH_012_162_000305	毋徇貨色，毋甘嬉遊。
HCH_012_162_000306	親庶政以總威權，敦倫理以厚風俗，辨邪正以專委任，嚴賞罰以彰善惡，崇風憲以正紀綱。
HCH_012_162_000307	去浮費，罷冗員。
HCH_012_162_000308	禁僧道之蠹民，擇賢將以訓士。
HCH_012_162_000309	然後親率群臣，謝過郊廟，如成湯之六事自責，唐太宗之十漸即改，庶幾天意可回，國勢可振。
HCH_012_162_000310	父有天下，固當傳之於子。
HCH_012_162_000311	乃者太子薨逝，足知天命有在。
HCH_012_162_000312	臣竊以為上皇之子，即陛下之子。
HCH_012_162_000313	沂王天資厚重，足令宗社有托。
HCH_012_162_000314	伏望擴天地之量，敦友於之仁，蠲吉具儀，建復儲位，實祖宗無疆之休。
HCH_012_162_000315	陛下命將帥各陳方略。
HCH_012_162_000316	經旬逾時，互相委責。
HCH_012_162_000317	及石亨、柳溥有言，又不過庸人孺子之計。
HCH_012_162_000318	平時尚爾，一旦有急，將何策制之？
HCH_012_162_000319	夫禦敵之方，莫先用賢。
HCH_012_162_000320	陛下求賢若渴，而大臣之排抑尤甚，所舉者率多親舊富厚之家。
HCH_012_162_000321	即長材屈抑，孰肯為言？
HCH_012_162_000322	朝臣欺謾若此，臣所以撫膺流涕，為今日妨賢病國者醜也。
HCH_012_162_000323	疏入，帝不懌。
HCH_012_162_000324	下廷臣集議。
HCH_012_162_000325	寧陽侯陳懋、吏部尚書王直等請帝納其言，因引罪求罷。
HCH_012_162_000326	帝慰留之。
HCH_012_162_000327	越數日，章綸亦疏言復儲事，遂並下詔獄。
HCH_012_162_000328	明年八月，大理少卿廖莊亦以言沂王事予杖。
HCH_012_162_000329	左右言：事由同倡，帝乃封巨梃就獄中杖之，同竟死。
HCH_012_162_000330	時年三十二。
HCH_012_162_000331	同之上疏也，策馬出，馬伏地不肯起。
HCH_012_162_000332	同叱曰：「吾不畏死，爾奚為者！」
HCH_012_162_000333	馬猶盤辟再四，乃行。
HCH_012_162_000334	同死，馬長號數聲亦死。
HCH_012_162_000335	英宗復位，贈同大理左寺丞，錄其子啟為國子生，尋授咸寧知縣。
HCH_012_162_000336	啟請父遺骸歸葬，詔給舟車路費。
HCH_012_162_000337	成化中，授次子越通政知事，給同妻羅氏月廩。
HCH_012_162_000338	尋賜同謚恭湣，從祀忠節祠，與球聯位，竟如同初誌。
HCH_012_162_000339	方同下獄時，有禮部郎孟玘者，亦疏言復儲事。
HCH_012_162_000340	帝不罪。
HCH_012_162_000341	而進士楊集上書于謙曰：「奸人黃矰獻議易儲，不過為逃死計耳，公等遽成之。公國家柱石，獨不思所以善後乎？今同等又下獄矣，脫諸人死杖下，而公等坐享崇高，如清議何！」
HCH_012_162_000342	謙以書示王文。
HCH_012_162_000343	文曰：「書生不知忌諱，要為有膽，當進一官處之。」
HCH_012_162_000344	乃以集知安州。
HCH_012_162_000345	玘，閩人；集，常熟人也。
HCH_012_162_000346	章綸，字大經，樂清人。
HCH_012_162_000347	正統四年進士。
HCH_012_162_000348	授南京禮部主事。
HCH_012_162_000349	景泰初，召為儀制郎中。
HCH_012_162_000350	綸見國家多故，每慷慨論事。
HCH_012_162_000351	嘗上太平十六策，反復萬餘言。
HCH_012_162_000352	也先既議和，請力圖修攘以待其變。
HCH_012_162_000353	中官興安請帝建大隆福寺成，將臨幸。
HCH_012_162_000354	綸具疏諫，河東鹽運判官濟南楊浩除官未行，亦上章諫，帝即罷幸。
HCH_012_162_000355	浩後累官副都御史，巡撫延綏。
HCH_012_162_000356	綸又因災異請求致變之由，語頗切至。
HCH_012_162_000357	五年五月，鐘同上奏請復儲。
HCH_012_162_000358	越二日，綸亦抗疏陳修德弭災十四事。
HCH_012_162_000359	其大者謂：「內官不可幹外政，佞臣不可假事權，後宮不可盛聲色。凡陰盛之屬，請悉禁罷。」
HCH_012_162_000360	又言：「孝弟者，百行之本。願退朝後朝謁兩宮皇太后，修問安視膳之儀。上皇君臨天下十有四年，是天下之父也；陛下親受冊封，是上皇之臣也。陛下與上皇，雖殊形體，實同一人。伏讀奉迎還宮之詔曰：「禮惟加而無替，義以卑而奉尊。』望陛下允蹈斯言。或朔望，或節旦，率群臣朝見延和門，以展友於之情，實天下之至願也。更請復汪後於中宮，正天下之母儀；還沂王之儲位，定天下之大本。如此則和氣充溢，災沴自弭。」疏入，帝大怒。時日已暝，宮門閉。乃傳旨自門隙中出，立執綸及鐘同下詔獄。榜掠慘酷，逼引主使及交通南宮狀。瀕死，無一語。會大風揚沙，晝晦，獄得稍緩，令錮之。明年杖廖莊闕下。因封杖就獄中杖綸、同各百。同竟死，綸長繋如故。英宗復位，郭登言綸與廖莊、林聰、左鼎、倪敬等皆直言忤時，宜加旌擢。帝乃立釋綸。命內侍檢前疏，不得。內侍從旁誦數語，帝嗟嘆再三，擢禮部右侍郎。綸既以大節為帝所重，而性亢直，不能諧俗。石亨貴幸招公卿飲，綸辭不往，又數與尚書楊善論事不合。亨、善共短綸。乃調南京禮部，就改吏部。憲宗即位，有司以遺詔請大婚。綸言：「山陵尚新，元朔未改，百日從吉，心寧自安。陛下踐阼之初，當以孝治天下，三綱五常實原於此。乞俟來春舉行。
HCH_012_162_000361	議雖不從，天下咸重其言。
HCH_012_162_000362	成化元年，兩淮饑，奏救荒四事。
HCH_012_162_000363	皆報可。
HCH_012_162_000364	四年秋，子玄應以冒籍舉京闈。
HCH_012_162_000365	給事中朱清、御史楊智等因劾綸，命侍郎葉盛勘之。
HCH_012_162_000366	明年，綸及僉都御史高明考察庶官，兩人議不協。
HCH_012_162_000367	疏既上，綸復獨奏給事中王讓不赴考察，且言明剛愎自用，己言多不見從，乞與明俱罷。
HCH_012_162_000368	章並下盛等。
HCH_012_162_000369	於是讓及下考諸臣連章劾綸。
HCH_012_162_000370	綸亦屢疏求罷。
HCH_012_162_000371	帝不聽。
HCH_012_162_000372	既而盛等勘上玄應實冒籍。
HCH_012_162_000373	帝宥綸，而所奏他事，亦悉不問。
HCH_012_162_000374	未幾，復轉禮部。
HCH_012_162_000375	溫州知府範奎被論調官。
HCH_012_162_000376	綸言：「溫州臣鄉郡，奎大得民心。解官之日，士民三萬人哭泣攀轅，留十八日乃得去。請還之以慰民望。」
HCH_012_162_000377	章下所司，竟報寢。
HCH_012_162_000378	綸性戇，好直言，不為當事者所喜。
HCH_012_162_000379	為侍郎二十年，不得遷，請老去。
HCH_012_162_000380	久之卒。
HCH_012_162_000381	居數年，其妻張氏上其奏稿，且乞恩。
