HCH_015_014_000001	揚州南徐州豫州南豫州南兖州北兖州北徐州青州冀州江州廣州交州越州京輦神皐。
HCH_015_014_000026	上表曰：「忝任此州，地不爲曠，西界荒餘，密邇寇虜，北垂蕭條，土氣彊獷，民不識義，唯戰是習。逋逃不逞，不謀日會。比年以來，無月不戰，實非空乏所能獨撫。請輔國將軍張暢領淮南、安豐、梁國三郡。」
HCH_015_014_000027	時豫州邊荒，至乃如此。
HCH_015_014_000028	十二年，劉義慶鎮壽春，後常爲州治。
HCH_015_014_000029	撫接遐荒，扞禦疆埸。
HCH_015_014_000030	領郡如左：慎汝陰宋安陽和城南頓陽夏宋丘樊鄭東南陳左縣邊水梁郡西南頓郡樓煩汝陰宋陳平豫固始新蔡汝南安城南陳萇平項西華陽夏右三郡，永明四年割郢州屬。
HCH_015_014_000031	晉寧康元年，豫州刺史桓沖始鎮姑熟，後遷徙，見《晉書》。
HCH_015_014_000032	宋永初二年，分淮東爲南豫州，治歷陽，而淮西爲豫州。
HCH_015_014_000033	元嘉七年省幷。
HCH_015_014_000034	大明元年復置，治姑熟。
HCH_015_014_000035	泰始二年治歷陽，三年治宣城，五年省。
HCH_015_014_000036	淮西沒虜。
HCH_015_014_000037	七年，復分淮東置南豫。
HCH_015_014_000038	建元二年，太祖以西豫吏民寡刻，分置兩州，損費甚多，省南豫。
HCH_015_014_000039	左僕射王儉啓：「愚意政以江西連接汝、潁，土曠民希，匈奴越逸，唯以壽春爲阻。若使州任得才，虜動要有聲聞，豫設防禦，此則不俟南豫。假令或慮一失，醜羯之來，聲不先聞，胡馬倏至，壽陽嬰城固守，不能斷其路，朝廷遣軍歷陽，己當不得先機。戎車初戒，每事草創，孰與方鎮常居，軍府素正。臨時配助，所益實少。安不忘危，古之善政。所以江左屢分南豫，意亦可求。如聞西豫力役尚復粗可，今得南譙等郡，民戶益薄，於其實益，復何足云。」
HCH_015_014_000040	太祖不從。
HCH_015_014_000041	永明二年，割揚州宣城、淮南，豫州歷陽、譙、廬江、臨江六郡，復置南豫州。
HCH_015_014_000042	四年，冠軍長史沈憲啓：「二豫分置，以桑堁子亭爲斷。潁川、汝陽在南譙、歷陽界內，悉屬西豫，廬江居晉熙、汝陰之中，屬南豫。求以潁川、汝陽屬南豫，廬江還西豫。」
HCH_015_014_000043	七年，南豫州別駕殷瀰稱：「潁川、汝陽，荒殘來久，流民分散在譙、歷二境，多蒙復除，獲有郡名，租輸益微，府州絕無將吏，空受名領，終無實益。但寄治譙、歷，於方斷之宜，實應屬南豫。二豫亟經分置，廬江屬南豫，濱帶長江，與南譙接境，民黎租帛，從流送州，實爲便利，遠踰西豫，非其所願，郡領灊舒及始新左縣，村竹產，府州採伐，爲益不少。府州新創，異於舊藩。資役多闕，實希得廬江。請依昔分置。」
HCH_015_014_000044	尚書參議：「往年慮邊塵須實，故啓迴換。今淮、泗無虞，宜許所牒。」
HCH_015_014_000045	詔「可」。
HCH_015_014_000046	領郡如左：于湖繁昌當塗浚遒定陵襄垣舒灊始新和城西華呂亭左縣譙臨江郡鎮廣陵，漢故王國。
HCH_015_014_000047	有江都浦水，魏文帝伐吳出此，見江濤盛壯，歎云：「天所以限南北也。」
HCH_015_014_000048	晉元帝過江，建興四年，揚聲北討，遣宣城公裒督徐、兖二州，鎮廣陵。
HCH_015_014_000049	其後或還江南，然立鎮自此始也。
HCH_015_014_000050	時百姓遭難，流移此境，流民多庇大姓以爲客。
HCH_015_014_000051	元帝太興四年，詔以流民失籍，使條名上有司，爲給客制度，而江北荒殘，不可檢實。
HCH_015_014_000052	明帝太寧三年，郗鑒爲兖州，鎮廣陵，後還京口。
HCH_015_014_000053	是後兖州或治盱眙，或治山陽，桓玄以桓弘爲青州，鎮廣陵。
HCH_015_014_000054	義熙二年，諸葛長民爲青州，徙山陽。
HCH_015_014_000055	時鮮卑接境，長民表云：「此蕃十載釁故相襲，城池崩毀，荒舊散伏，邊疆諸戍，不聞雞犬。且犬羊侵暴，抄掠滋甚。」
HCH_015_014_000056	乃還鎮京口。
HCH_015_014_000057	晉末氏廣陵控接三齊，故青、兖同鎮。
HCH_015_014_000058	宋永初元年，罷青幷兖。
HCH_015_014_000059	三年，檀道濟始爲南兖州，廣陵因此爲州鎮。
HCH_015_014_000060	土甚平曠，刺史每以秋月多出海陵觀濤，與京口對岸，江之壯闊處也。
HCH_015_014_000061	永明元年，刺史柳世隆奏：「尚書符下土斷條格，幷省僑郡縣。凡諸流寓，本無定憩，十家五落，各自星處。一縣之民，散在州境，西至淮畔，東屆海隅。今專罷僑邦，不省荒邑，雜居舛止，與先不異。離爲區斷，無革游濫。謂應同省，隨堺幷帖。若鄉屯里聚，二三百家，井甸可脩，區域易分者，別詳立。」
HCH_015_014_000062	於是濟陰郡六縣，下邳郡四縣，淮陽郡三縣，東莞郡四縣，以散居無實土，官長無廨舍，寄止民村，及州治立，見省，民戶帖屬。
HCH_015_014_000063	領郡如左：廣陵郡建陵寧海如皐臨江蒲濤臨澤齊昌海安鎮淮陰。
HCH_015_014_000064	《地理志》云淮陰縣屬臨淮郡，《郡國志》屬下邳國，《晉太康地記》屬廣陵郡。
HCH_015_014_000065	穆帝永和中，北中郎將荀羨北討鮮卑，云「淮陰舊鎮，地形都要，水陸交通，易以觀釁。沃野有開殖之利，方舟運漕，無他屯阻」。
HCH_015_014_000066	乃營立城池。
HCH_015_014_000067	宋泰始二年失淮北，於此立州鎮。
HCH_015_014_000068	建元四年，移鎮盱眙，仍領盱眙郡。
HCH_015_014_000069	舊北對清泗，臨淮守險，有陽平石鼈，田稻豐饒。
HCH_015_014_000070	所領唯陽平一郡，永明七年，光祿大夫呂安國啓稱：「北兖州民戴尚伯六十人訴『舊壤幽隔，飃寓失所，今雖創置淮陰，而陽平一郡，州無實土，寄山陽境內。竊見司、徐、青三州，悉皆新立，竝有實郡。東平旣是望邦，衣冠所係。希於山陽、盱眙二界間，割小戶置此郡，始招集荒落。使本壤族姓，有所歸依』。臣尋東平郡旣是此州本領，臣賤族桑梓，願立此邦。」
HCH_015_014_000071	見許。
HCH_015_014_000072	領郡如左：壽張淮安右荒。
HCH_015_014_000073	鎮鍾離。
HCH_015_014_000074	《漢志》鍾離縣屬九江郡，《晉太康二年起居注》置淮南鍾離，未詳此前所省令。
HCH_015_014_000075	《晉地記》屬淮南郡。
HCH_015_014_000076	宋泰始末年屬南兖。
HCH_015_014_000077	元徽元年置州，割爲州治，防鎮緣淮。
HCH_015_014_000078	永明元年，省北徐譙、梁、魏、陽平、彭城五郡。
HCH_015_014_000079	領郡如左：燕縣朝歌虞零巳吾頓丘睢陵樂平濟安宋泰始初淮北沒虜，六年，始治鬱州上。
HCH_015_014_000080	鬱州在海中，周迴數百里，島出白鹿土，有田疇魚鹽之利。
HCH_015_014_000081	劉善明爲刺史，以海中易固，不峻城雉，乃累石爲之，高可八九尺。
HCH_015_014_000082	後爲齊郡治。
HCH_015_014_000083	建元初，徙齊郡治瓜步，以北海治齊郡故治，州治如舊。
HCH_015_014_000084	流荒之民，郡縣虛置，至於分居土著，蓋無幾焉。
HCH_015_014_000085	建元四年，移鎮朐山，後復舊。
HCH_015_014_000086	領郡如左：齊郡臨淄齊安西安宿豫尉氏平虜昌國泰益都都昌廣饒贛榆膠東劇下密平壽卽丘南東莞北東莞宋元嘉九年分青州置。
HCH_015_014_000087	青州領齊、濟南、樂安、高密、平昌、北海、東萊、太原、長廣九郡，冀州領廣川、平原、清河、樂陵、魏郡、河閒、頓丘、高陽、勃海九郡。
HCH_015_014_000088	泰始初，遇虜寇，竝荒沒。
HCH_015_014_000089	今所存者，泰始之後更置立也。
HCH_015_014_000090	二州共一刺史。
HCH_015_014_000091	郡縣十無八九，但有名存，案《宋志》自知也。
HCH_015_014_000092	建元初，以東海郡屬冀州。
HCH_015_014_000093	全領一郡：鎮尋陽，中流衿帶。
HCH_015_014_000094	晉元康元年，惠帝詔：「荊、揚二州，疆土曠遠。有司奏割揚州之豫章、鄱陽、廬陵、臨川、南康、建安、晉安爲新州。新安、東陽、宣城舊豫章封內，豫章之東北，相去懸遠，可如故屬揚州。又割荊州之武昌、桂陽、安成幷十郡，可因江水之名爲江州，宜治豫章。」
HCH_015_014_000095	庾亮領刺史，都督六州，云以荊、江爲本，校二州戶口，雖相去機事，實覺過半，江州實爲根本。
HCH_015_014_000096	臨終表江州宜治尋陽，以州督豫州新蔡、西陽二郡，治湓城，接近東江諸郡，往來便易。
HCH_015_014_000097	其後庾翼又還豫章。
HCH_015_014_000098	義熙後，還尋陽。
HCH_015_014_000099	何無忌表：「竟陵去治遼遠，去江陵正三百里，荊州所立綏安郡民戶，參入此境，郡治常在夏口左右，欲資此郡助江濱戍防，以竟陵還荊州。又司州弘農、揚州松滋二郡，寄尋陽，人民雜居，宜竝見督。」
HCH_015_014_000100	今九江在州鎮之北，彭蠡在其東也。
HCH_015_014_000101	領郡如左：贛雩都南野寧都平固陂陽虔化南康鎮南海。
HCH_015_014_000102	濱際海隅，委輸交部，雖民戶不多，而俚獠猥雜，皆樓居山險，不肯賔服。
HCH_015_014_000103	西南二江，川源深遠，別置督護，專征討之。
HCH_015_014_000104	捲握之資，富兼十世。
HCH_015_014_000105	尉他餘基，亦有霸迹。
HCH_015_014_000106	江左以其遼遠，蕃戚未有居者，唯宋隨王誕爲刺史。
HCH_015_014_000107	領郡如左：鎮交阯，在海漲島中。
HCH_015_014_000108	楊雄箴曰：「交州荒遰，水與天際。」
HCH_015_014_000109	外接南夷，寶貨所出，山海珍怪，莫與爲比。
HCH_015_014_000110	民恃險遠，數好反叛。
HCH_015_014_000111	領郡如左：宋壽郡義昌郡鎮臨漳郡，本合浦北界也。
HCH_015_014_000112	夷獠叢居，隱伏巖障，寇盜不賔，略無編戶。
HCH_015_014_000113	宋泰始中，西江督護陳伯紹獵北地，見二青牛驚走入草，使人逐之不得，乃誌其處，云「此地當有奇祥」。
HCH_015_014_000114	啓立爲越州。
HCH_015_014_000115	七年，始置百梁、隴蘇、永寧、安昌、富昌、南流六郡，割廣、交朱三郡屬。
HCH_015_014_000116	元徽二年，以伯紹爲刺史，始立州鎮，穿山爲城門，威服俚獠。
HCH_015_014_000117	土有瘴氣殺人。
HCH_015_014_000118	漢世交州刺史每暑月輙避處高，今交土調和，越瘴獨甚。
HCH_015_014_000119	刺史常事戎馬，唯以貶伐爲務。
HCH_015_014_000120	北流郡齊寧郡吳春俚郡齊隆郡本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
