HCH_012_144_000001	盛庸，不知何許人。
HCH_012_144_000087	安於陣中縛木為樓，高數丈，戰酣，輒登樓望，發強弩射燕軍，死者甚眾。
HCH_012_144_000088	忽大風起，發屋拔樹，聲如雷。
HCH_012_144_000089	都指揮鄧戩、陳鵬等陷敵中，安遂敗走真定。
HCH_012_144_000090	燕王與南軍數大戰，每親身陷陣，所向皆靡，惟安與庸二軍屢挫之。
HCH_012_144_000091	滹沱之戰，矢集王旗如蝟毛。
HCH_012_144_000092	王使人送旗北平，諭世子謹藏，以示後世。
HCH_012_144_000093	顧成已先被執在燕，見而泣曰：「臣自少從軍，今老矣，多歷戰陣，未嘗見若此也。」
HCH_012_144_000094	逾月，燕師出大名。
HCH_012_144_000095	安與庸及吳傑等分兵擾其餉道。
HCH_012_144_000096	燕王患之，遣指揮武勝上書於朝，請撤安等息兵，為緩師計。
HCH_012_144_000097	帝不許。
HCH_012_144_000098	燕王亦決計南下。
HCH_012_144_000099	遣李遠等潛走沛縣，焚糧舟，掠彰德，破尾尖寨，諭降林縣。
HCH_012_144_000100	時安在真定，度北平空虛，帥萬騎直走北平。
HCH_012_144_000101	至平村，去城五十里而軍。
HCH_012_144_000102	燕王懼，遣劉江等馳還救。
HCH_012_144_000103	安戰不利，引還。
HCH_012_144_000104	時大同守將房昭引兵入紫荊關，據易州西水寨以窺北平，安自真定餉之。
HCH_012_144_000105	八月，燕兵北歸。
HCH_012_144_000106	安及燕將李彬戰於楊村，敗之。
HCH_012_144_000107	四年，燕兵復南下，破蕭縣。
HCH_012_144_000108	安引軍躡其後，至淝河。
HCH_012_144_000109	燕將白義、王真、劉江迎敵。
HCH_012_144_000110	安轉戰，斬真。
HCH_012_144_000111	真，驍將。
HCH_012_144_000112	燕王嘗曰：「諸將奮勇如王真，何事不成！」
HCH_012_144_000113	至是為安所殺。
HCH_012_144_000114	燕王乃身自迎戰，安部將火耳灰挺槊大呼，直前刺王。
HCH_012_144_000115	馬忽蹶，被擒。
HCH_012_144_000116	安稍引卻。
HCH_012_144_000117	已，復進至小河，張左右翼擊燕軍，斬其將陳文。
HCH_012_144_000118	已，復移軍齊眉山，與諸將列陣大戰。
HCH_012_144_000119	自午至酉，又敗之。
HCH_012_144_000120	燕諸將謀北還，圖後舉。
HCH_012_144_000121	王不聽。
HCH_012_144_000122	尋阻何福軍亦至，與安合。
HCH_012_144_000123	燕軍益大懼，王晝夜擐甲者數日。
HCH_012_144_000124	福欲持久老燕師，移營靈璧，深塹高壘自固。
HCH_012_144_000125	而糧運為燕兵所陰，不得達。
HCH_012_144_000126	安分兵往迎，燕王以精騎遮安軍，分為二。
HCH_012_144_000127	福開壁來援，為高煦所敗。
HCH_012_144_000128	諸將謀移軍淮河就糧，夜令軍中聞三炮即走。
HCH_012_144_000129	翌日，燕軍猝薄壘，發三炮。
HCH_012_144_000130	軍中誤以為己號，爭趨門，遂大亂。
HCH_012_144_000131	燕兵乘之，人馬墜壕塹俱滿。
HCH_012_144_000132	福單騎走，安及陳暉、馬溥、徐真、孫成等三十七人皆被執。
HCH_012_144_000133	文臣宦官在軍被執者又百五十餘人，時四月辛巳也。
HCH_012_144_000134	安久駐真定，屢敗燕兵，斬驍將數人，燕將莫敢嬰其鋒。
HCH_012_144_000135	至是被擒，軍中歡呼動地，曰：「吾屬自此獲安矣！」
HCH_012_144_000136	爭請殺安。
HCH_012_144_000137	燕王惜其材勇，選銳卒衛送北平，命世子及郭資等善視之。
HCH_012_144_000138	王即帝位，以安為北平都指揮使。
HCH_012_144_000139	尋進行後府都督僉事。
HCH_012_144_000140	永樂七年三月，帝巡北京。
HCH_012_144_000141	將至，覽章奏見安名，謂左右曰：「平保兒尚在耶？」
HCH_012_144_000142	安聞之，遂自殺。
HCH_012_144_000143	命以指揮使祿給其子。
HCH_012_144_000144	何福，鳳陽人。
HCH_012_144_000145	洪武初，累功為金吾後衛指揮同知。
HCH_012_144_000146	從傅友德征雲南，擢都督僉事。
HCH_012_144_000147	又從藍玉出塞，至捕魚兒海。
HCH_012_144_000148	二十一年，江陰侯吳高帥迤北降人南征。
HCH_012_144_000149	抵沅江，眾叛，由思州出荊、樊，道渭河，欲遁歸沙漠。
HCH_012_144_000150	明年正月，福與都督聶緯追擊，及諸鄜、延，盡殲之。
HCH_012_144_000151	移兵討平都勻蠻，俘斬萬計。
HCH_012_144_000152	二十四年，拜平羌將軍，討越州叛蠻阿資，破降之。
HCH_012_144_000153	擇地立柵處其眾，置寧越堡。
HCH_012_144_000154	遂平九名、九姓諸蠻。
HCH_012_144_000155	尋與都督茅鼎會兵，徇五開。
HCH_012_144_000156	未行，而畢節諸蠻復叛，大掠屯堡，殺吏士。
HCH_012_144_000157	福令畢節諸衛嚴備，而檄都督陶文等從鼎搗其巢。
HCH_012_144_000158	擒叛酋，戮之。
HCH_012_144_000159	分兵盡捕諸蠻，建堡設戍，乃趨五開。
HCH_012_144_000160	請因兵力討水西奢香，不許。
HCH_012_144_000161	三十年三月，水西蠻居宗必登等作亂，會顧成討平之。
HCH_012_144_000162	其冬拜征虜左將軍，副西平侯沐春討麓川叛蠻刀幹孟。
HCH_012_144_000163	明年，福與都督瞿能逾高良公山，搗南甸，擒其酋刀名孟。
HCH_012_144_000164	回軍擊景罕寨，不下。
HCH_012_144_000165	春以銳軍至，賊驚潰。
HCH_012_144_000166	幹孟懼，乞降。
HCH_012_144_000167	已而春卒，賊復懷貳。
HCH_012_144_000168	是時太祖已崩，惠帝初即位，拜福征虜將軍。
HCH_012_144_000169	福遂破擒刀幹孟，降其眾七萬。
HCH_012_144_000170	分兵徇下諸寨，麓川地悉定。
HCH_012_144_000171	建文元年，還京師，論功進都督同知。
HCH_012_144_000172	練兵德州，進左都督。
HCH_012_144_000173	與盛庸、平安會兵伐燕，戰淮北不利，奔還。
HCH_012_144_000174	成祖即位，以福宿將知兵，推誠用之。
HCH_012_144_000175	聘其甥女徐氏為趙王妃。
HCH_012_144_000176	尋，命佩征虜將軍印，充總兵官，鎮寧夏，節制山、陜、河南諸軍。
HCH_012_144_000177	福至鎮，宣布德意，招徠遠人，塞外諸部降者相踵。
HCH_012_144_000178	邊陲無事，因請置驛、屯田、積谷，定賞罰，為經久計。
HCH_012_144_000179	會有讒之者。
HCH_012_144_000180	帝不聽，降敕褒慰。
HCH_012_144_000181	永樂五年八月，移鎮甘肅。
HCH_012_144_000182	福馭軍嚴，下多不便者。
HCH_012_144_000183	帝間使使戒福，善自衛，毋為小人所中。
HCH_012_144_000184	六年，福請遣京師蕃將將迤北降人。
HCH_012_144_000185	帝報曰：「爾久總蕃、漢兵，恐勢眾致讒耳。爾老將，朕推誠倚重，毋顧慮。」
HCH_012_144_000186	尋請以布市馬，選其良者別為群，置官給印專領之。
HCH_012_144_000187	於是馬大蕃息。
HCH_012_144_000188	永昌苑牧馬自此始。
HCH_012_144_000189	明年，本雅失裏糾阿魯臺將入寇，為瓦剌所敗，走臚朐河，欲收諸部潰卒窺河西。
HCH_012_144_000190	詔福嚴兵為備。
HCH_012_144_000191	迤北王子、國公、司徒以下十餘人帥所部駐亦集乃，乞內附。
HCH_012_144_000192	福以聞，帝令庶子楊榮往，佐福經理，其眾悉降。
HCH_012_144_000193	福親至亦集乃鎮撫之，送其酋長於京師。
HCH_012_144_000194	帝嘉福功，命榮即軍中封福為寧遠侯，祿千石，且詔福軍中事先行後聞。
HCH_012_144_000195	八年，帝北征，召福從出塞。
HCH_012_144_000196	初，帝以福有才略，寵任逾諸將。
HCH_012_144_000197	福亦善引嫌，有事未嘗專決。
HCH_012_144_000198	在鎮嘗請取西平侯家鞏昌蓄馬，以充孳牧。
HCH_012_144_000199	帝報曰：「皇考時貴近家多許養馬，以示共享富貴之意。爾所奏固為國矣，然非待勛戚之道。」
HCH_012_144_000200	不聽。
HCH_012_144_000201	其餘有請輒行，委寄甚重。
HCH_012_144_000202	及從征，數違節度。
HCH_012_144_000203	群臣有言其罪者，福益怏怏有怨言。
HCH_012_144_000204	師還，都御史陳瑛復劾之。
HCH_012_144_000205	福懼，自縊死，爵除。
HCH_012_144_000206	而趙王妃亦尋廢。
HCH_012_144_000207	顧成，字景韶，其先湘潭人。
HCH_012_144_000208	祖父業操舟，往來江、淮間，遂家江都。
HCH_012_144_000209	成少魁岸，膂力絕人，善馬槊，文其身以自異。
HCH_012_144_000210	太祖渡江，來歸，以勇選為帳前親兵，擎蓋出入。
HCH_012_144_000211	嘗從上出，舟膠於沙，成負舟而行。
HCH_012_144_000212	從攻鎮江，與勇士十人轉鬥入城，被執，十人皆死。
HCH_012_144_000213	成躍起斷縛，仆持刀者，脫歸。
HCH_012_144_000214	導眾攻城，克之，授百戶。
HCH_012_144_000215	大小數十戰，皆有功，進堅城衛指揮僉事。
HCH_012_144_000216	從伐蜀，攻羅江，擒元帥以下二十餘人，進降漢州。
HCH_012_144_000217	蜀平，改成都後衛。
HCH_012_144_000218	洪武六年，擒重慶妖賊王元保。
HCH_012_144_000219	八年調守貴州。
HCH_012_144_000220	時群蠻叛服不常，成連歲出兵，悉平之。
HCH_012_144_000221	已，從潁川侯傅友德征雲南，為前鋒，首克普定，留成列柵以守。
HCH_012_144_000222	蠻數萬來攻，成出柵，手殺數十百人，賊退走。
HCH_012_144_000223	余賊猶在南城，成斬所俘而縱其一，曰：「吾夜二鼓來殺汝。」
HCH_012_144_000224	夜二鼓，吹角鳴炮，賊聞悉走，獲器甲無算。
HCH_012_144_000225	進指揮使。
HCH_012_144_000226	諸蠻隸普定者悉平。
HCH_012_144_000227	十七年，平阿黑、螺螄等十餘寨。
HCH_012_144_000228	明年奏罷普定府，析其地為三州、六長官司。
HCH_012_144_000229	進貴州都指揮同知。
HCH_012_144_000230	有告其受賕及僭用玉器等物者，以久勞不問。
HCH_012_144_000231	二十九年遷右軍都督僉事，佩征南將軍印。
HCH_012_144_000232	會何福討水西蠻，斬其酋居宗必登。
HCH_012_144_000233	明年，西堡、滄浪諸寨蠻亂，成遣指揮陸秉與其子統分道討平之。
HCH_012_144_000234	成在貴州凡十餘年，討平諸苗洞寨以百數，皆誅其渠魁，撫綏余眾。
HCH_012_144_000235	恩信大布，蠻人帖服。
HCH_012_144_000236	是年二月，召還京。
HCH_012_144_000237	建文元年，為左軍都督，從耿炳文禦燕師，戰真定，被執。
HCH_012_144_000238	燕王解其縛曰：「此天以爾授我也！」
HCH_012_144_000239	送北平，輔世子居守。
HCH_012_144_000240	南軍圍城，防禦、調度一聽於成。
HCH_012_144_000241	燕王即位，論功，封鎮遠侯，食祿千五百石，予世券。
HCH_012_144_000242	命仍鎮貴州。
HCH_012_144_000243	永樂元年，上書，請嚴備西北諸邊，及早建東宮。
HCH_012_144_000244	帝褒答之。
HCH_012_144_000245	六年三月召至京，賜金帛遣還。
HCH_012_144_000246	思州宣慰使田琛與思南宣慰使田宗鼎構兵，詔成以兵五萬壓其境，琛等就擒。
HCH_012_144_000247	於是分思州、思南地，更置州縣，遂設貴州布政司。
HCH_012_144_000248	其年八月，臺羅苗普亮等作亂，詔成帥二都司三衛兵討平之。
HCH_012_144_000249	成性忠謹，涉獵書史。
HCH_012_144_000250	始居北平，多效謀畫，然終不肯將兵，賜兵器亦不受。
HCH_012_144_000251	再鎮貴州，屢平播州、都勻諸叛蠻，威鎮南中，土人立生祠祀焉。
HCH_012_144_000252	其被召至京也，命輔太子監國。
HCH_012_144_000253	成頓首言：「太子仁明，廷臣皆賢，輔導之事非愚臣所及，請歸備蠻。」
HCH_012_144_000254	時群小謀奪嫡，太子不自安。
HCH_012_144_000255	成入辭文華殿，因曰：「殿下但當竭誠孝敬，孳孳恤民。萬事在天，小人不足措意。」
HCH_012_144_000256	十二年五月卒，年八十有五。
HCH_012_144_000257	贈夏國公，謚武毅。
HCH_012_144_000258	八子。
HCH_012_144_000259	長統，普定衛指揮，以成降燕被誅。
HCH_012_144_000260	統子興祖嗣侯。
HCH_012_144_000261	仁宗即位，廣西蠻叛。
HCH_012_144_000262	詔興祖為總兵官討之。
HCH_012_144_000263	先後討平潯州、平樂、思恩、宜山諸苗，降附甚眾。
HCH_012_144_000264	宣德中，交阯黎利復叛，陷隘留關，圍邱溫。
HCH_012_144_000265	時興祖在南寧，坐擁兵不援，征下錦衣衛獄。
HCH_012_144_000266	逾年得釋。
HCH_012_144_000267	正統末，從北征，自土木脫歸，論死。
HCH_012_144_000268	也先逼都城，復冠帶，充副總兵，禦敵於城外。
HCH_012_144_000269	授都督同知，守備紫荊關。
HCH_012_144_000270	景泰三年，坐受賄，復下獄，尋釋。
HCH_012_144_000271	以立東宮恩，予伯爵。
HCH_012_144_000272	天順初，復侯，守備南京。
HCH_012_144_000273	卒。
HCH_012_144_000274	孫淳嗣。
HCH_012_144_000275	卒，無子。
HCH_012_144_000276	從弟溥嗣，掌五軍右掖。
HCH_012_144_000277	弘治二年，拜平蠻將軍，鎮湖廣。
HCH_012_144_000278	始至，捕斬苗中首惡。
HCH_012_144_000279	五年十月，貴州都勻苗乜富架作亂，自稱都順王，梗滇、蜀道。
HCH_012_144_000280	詔溥充總兵官，帥兵八萬討之。
HCH_012_144_000281	分五路刻期並進，誅富架父子，斬首萬計。
HCH_012_144_000282	加太子太保，增祿二百石。
HCH_012_144_000283	召入提督團營，掌前軍都督府事。
HCH_012_144_000284	十六年，卒。
HCH_012_144_000285	謚襄恪。
HCH_012_144_000286	溥清慎守法，卒之日，囊無余資，英國公張懋出布帛以斂。
HCH_012_144_000287	子仕隆嗣，管神機營左哨，得士心。
HCH_012_144_000288	正德初，出為漕運總兵，數請恤軍卒。
HCH_012_144_000289	鎮淮安十餘年，以清白聞。
HCH_012_144_000290	武宗南巡，江彬橫甚，折辱諸大吏，惟仕隆不為屈。
HCH_012_144_000291	嘉靖初，移鎮湖廣。
HCH_012_144_000292	尋召還，論奉迎防守功。
HCH_012_144_000293	加太子太傅，掌中軍都督府事。
HCH_012_144_000294	錦衣千戶王邦奇者，怨大學士楊廷和、兵部尚書彭澤，上疏言：「哈密失策，事由兩人。」
HCH_012_144_000295	帝怒，逮系廷和諸子婿。
HCH_012_144_000296	給事中楊言疏救，忤旨。
HCH_012_144_000297	事下五府九卿科道議，仕隆言：「廷和功在社稷。邦奇小人，假邊事惑聖聽，傷國體。」
HCH_012_144_000298	有詔切責，移病解營務。
HCH_012_144_000299	卒。
HCH_012_144_000300	贈太傅，謚榮靖。
HCH_012_144_000301	子寰嗣，守備南京。
HCH_012_144_000302	奉詔讞獄，多所平反。
HCH_012_144_000303	十七年為漕運總兵官。
HCH_012_144_000304	明年，獻皇后梓宮赴承天，漕舟以避梓宮後期者三千。
HCH_012_144_000305	而江南北多災傷，寰請被災地停漕一年，令改折色，軍民交便。
HCH_012_144_000306	又條上漕政七事，並施行。
HCH_012_144_000307	諸為漕蠹者病之，遂布蜚語，為給事中王交所劾。
HCH_012_144_000308	已，按驗不實，再鎮淮安。
HCH_012_144_000309	會安南事起，移鎮兩廣。
HCH_012_144_000310	莫宏瀷者，安南都統使莫福海子也。
HCH_012_144_000311	福海死，宏瀷幼。
HCH_012_144_000312	其權臣阮敬與族人莫正中構兵，國內亂，正中逃入欽州。
HCH_012_144_000313	時有議乘釁取安南者，寰與提督侍郎周延決策，請於朝，令宏瀷襲都統使，安南遂定。
HCH_012_144_000314	三十年事也。
HCH_012_144_000315	尋以兵討平桂林、平樂叛瑤。
HCH_012_144_000316	復命鎮淮，有禦倭功。
HCH_012_144_000317	入總京營，加太子太保。
HCH_012_144_000318	復出督漕。
HCH_012_144_000319	召還。
HCH_012_144_000320	請老。
HCH_012_144_000321	隆慶五年，特起授京營總督。
HCH_012_144_000322	尋乞休。
HCH_012_144_000323	神宗嗣位，起掌左府。
HCH_012_144_000324	久之，致仕。
HCH_012_144_000325	加少保。
HCH_012_144_000326	萬歷九年卒。
HCH_012_144_000327	贈太傅，謚榮僖。
HCH_012_144_000328	自溥至寰三世，皆寬和廉靖，內行飭謹，曉文藝。
HCH_012_144_000329	仕隆、寰兩世督漕，皆勤於職。
HCH_012_144_000330	三傳至孫肇跡，京師陷，死於賊。
HCH_012_144_000331	贊曰：東昌、小河之戰，盛庸、平安屢挫燕師，斬其驍將，厥功甚壯。
HCH_012_144_000332	及至兵敗被執，不克引義自裁，隱忍偷生，視鐵鉉、暴昭輩，能無愧乎？
HCH_012_144_000333	何福、顧成皆太祖時宿將，著功邊僥。
HCH_012_144_000334	而一遇燕兵，或引卻南奔，或身遭俘馘。
HCH_012_144_000335	成祖棄瑕錄舊，均列茅土，亦雲幸矣。
HCH_012_144_000336	福固不以功名終，而成之延及苗裔，榮不勝辱，亦奚足取哉。
